REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
SIMPLICITY,NGCC,GAS,1,2014,1.992
SIMPLICITY,NGCC,GAS,1,2015,1.992
SIMPLICITY,NGCC,GAS,1,2016,1.992
SIMPLICITY,NGCC,GAS,1,2017,1.992
SIMPLICITY,NGCC,GAS,1,2018,1.992
SIMPLICITY,NGCC,GAS,1,2019,1.992
SIMPLICITY,NGCC,GAS,1,2020,1.992
SIMPLICITY,NGCC,GAS,1,2021,1.992
SIMPLICITY,NGCC,GAS,1,2022,1.992
SIMPLICITY,NGCC,GAS,1,2023,1.992
SIMPLICITY,NGCC,GAS,1,2024,1.992
SIMPLICITY,NGCC,GAS,1,2025,1.992
SIMPLICITY,NGCC,GAS,1,2026,1.992
SIMPLICITY,NGCC,GAS,1,2027,1.992
SIMPLICITY,NGCC,GAS,1,2028,1.992
SIMPLICITY,NGCC,GAS,1,2029,1.992
SIMPLICITY,NGCC,GAS,1,2030,1.992
SIMPLICITY,NGCC,GAS,1,2031,1.992
SIMPLICITY,NGCC,GAS,1,2032,1.992
SIMPLICITY,NGCC,GAS,1,2033,1.992
SIMPLICITY,NGCC,GAS,1,2034,1.992
SIMPLICITY,NGCC,GAS,1,2035,1.992
SIMPLICITY,NGCC,GAS,1,2036,1.992
SIMPLICITY,NGCC,GAS,1,2037,1.992
SIMPLICITY,NGCC,GAS,1,2038,1.992
SIMPLICITY,NGCC,GAS,1,2039,1.992
SIMPLICITY,NGCC,GAS,1,2040,1.992
SIMPLICITY,TD,SEC_EL,1,2014,1.0
SIMPLICITY,TD,SEC_EL,1,2015,1.0
SIMPLICITY,TD,SEC_EL,1,2016,1.0
SIMPLICITY,TD,SEC_EL,1,2017,1.0
SIMPLICITY,TD,SEC_EL,1,2018,1.0
SIMPLICITY,TD,SEC_EL,1,2019,1.0
SIMPLICITY,TD,SEC_EL,1,2020,1.0
SIMPLICITY,TD,SEC_EL,1,2021,1.0
SIMPLICITY,TD,SEC_EL,1,2022,1.0
SIMPLICITY,TD,SEC_EL,1,2023,1.0
SIMPLICITY,TD,SEC_EL,1,2024,1.0
SIMPLICITY,TD,SEC_EL,1,2025,1.0
SIMPLICITY,TD,SEC_EL,1,2026,1.0
SIMPLICITY,TD,SEC_EL,1,2027,1.0
SIMPLICITY,TD,SEC_EL,1,2028,1.0
SIMPLICITY,TD,SEC_EL,1,2029,1.0
SIMPLICITY,TD,SEC_EL,1,2030,1.0
SIMPLICITY,TD,SEC_EL,1,2031,1.0
SIMPLICITY,TD,SEC_EL,1,2032,1.0
SIMPLICITY,TD,SEC_EL,1,2033,1.0
SIMPLICITY,TD,SEC_EL,1,2034,1.0
SIMPLICITY,TD,SEC_EL,1,2035,1.0
SIMPLICITY,TD,SEC_EL,1,2036,1.0
SIMPLICITY,TD,SEC_EL,1,2037,1.0
SIMPLICITY,TD,SEC_EL,1,2038,1.0
SIMPLICITY,TD,SEC_EL,1,2039,1.0
SIMPLICITY,TD,SEC_EL,1,2040,1.0
