REGION,TECHNOLOGY,YEAR,VALUE
SIMPLICITY,Backstop,2030,86515.94248397101
SIMPLICITY,Backstop,2031,97328.677671225
SIMPLICITY,Backstop,2032,111617.02838286001
SIMPLICITY,Backstop,2033,123880.6761192
SIMPLICITY,Backstop,2034,136753.69324617
SIMPLICITY,Backstop,2035,149275.80072405
SIMPLICITY,Backstop,2036,158682.87131697
SIMPLICITY,Backstop,2037,170411.16958866
SIMPLICITY,Backstop,2038,182313.95768586002
SIMPLICITY,Backstop,2039,195098.15490165
SIMPLICITY,Backstop,2040,210355.71964407
SIMPLICITY,NGCC,2035,65.2337279
