REGION,TIMESLICE,FUEL,YEAR,VALUE
SIMPLICITY,ID,FEL1,2014,0.26568
SIMPLICITY,ID,FEL1,2015,0.267
SIMPLICITY,ID,FEL1,2016,0.27288
SIMPLICITY,ID,FEL1,2017,0.28104
SIMPLICITY,ID,FEL1,2018,0.29112
SIMPLICITY,ID,FEL1,2019,0.30108
SIMPLICITY,ID,FEL1,2020,0.31068
SIMPLICITY,ID,FEL1,2021,0.32195999999999997
SIMPLICITY,ID,FEL1,2022,0.3336
SIMPLICITY,ID,FEL1,2023,0.34631999999999996
SIMPLICITY,ID,FEL1,2024,0.3546
SIMPLICITY,ID,FEL1,2025,0.36072
SIMPLICITY,ID,FEL1,2026,0.36732
SIMPLICITY,ID,FEL1,2027,0.37451999999999996
SIMPLICITY,ID,FEL1,2028,0.38232
SIMPLICITY,ID,FEL1,2029,0.39096
SIMPLICITY,ID,FEL1,2030,0.40032
SIMPLICITY,ID,FEL1,2031,0.41028000000000003
SIMPLICITY,ID,FEL1,2032,0.42036
SIMPLICITY,ID,FEL1,2033,0.43068
SIMPLICITY,ID,FEL1,2034,0.44111999999999996
SIMPLICITY,ID,FEL1,2035,0.45156
SIMPLICITY,ID,FEL1,2036,0.4626
SIMPLICITY,ID,FEL1,2037,0.47423999999999994
SIMPLICITY,ID,FEL1,2038,0.48648
SIMPLICITY,ID,FEL1,2039,0.49932
SIMPLICITY,ID,FEL1,2040,0.51276
SIMPLICITY,ID,FEL2,2018,0.036000000000000004
SIMPLICITY,ID,FEL2,2019,0.048
SIMPLICITY,ID,FEL2,2020,0.06
SIMPLICITY,ID,FEL2,2021,0.084
SIMPLICITY,ID,FEL2,2022,0.09
SIMPLICITY,ID,FEL2,2023,0.10800000000000001
SIMPLICITY,ID,FEL2,2024,0.114
SIMPLICITY,ID,FEL2,2025,0.12
SIMPLICITY,ID,FEL2,2026,0.132
SIMPLICITY,ID,FEL2,2027,0.14400000000000002
SIMPLICITY,ID,FEL2,2028,0.15
SIMPLICITY,ID,FEL2,2029,0.1536
SIMPLICITY,ID,FEL2,2030,0.156
SIMPLICITY,ID,FEL2,2031,0.162
SIMPLICITY,ID,FEL2,2032,0.18
SIMPLICITY,ID,FEL2,2033,0.18600000000000003
SIMPLICITY,ID,FEL2,2034,0.192
SIMPLICITY,ID,FEL2,2035,0.1968
SIMPLICITY,ID,FEL2,2036,0.204
SIMPLICITY,ID,FEL2,2037,0.2136
SIMPLICITY,ID,FEL2,2038,0.222
SIMPLICITY,ID,FEL2,2039,0.2304
SIMPLICITY,ID,FEL2,2040,0.24600000000000002
SIMPLICITY,IN,FEL1,2014,0.17712
SIMPLICITY,IN,FEL1,2015,0.17800000000000002
SIMPLICITY,IN,FEL1,2016,0.18192
SIMPLICITY,IN,FEL1,2017,0.18736
SIMPLICITY,IN,FEL1,2018,0.19408
SIMPLICITY,IN,FEL1,2019,0.20072
SIMPLICITY,IN,FEL1,2020,0.20711999999999997
SIMPLICITY,IN,FEL1,2021,0.21464
SIMPLICITY,IN,FEL1,2022,0.2224
SIMPLICITY,IN,FEL1,2023,0.23088000000000003
SIMPLICITY,IN,FEL1,2024,0.2364
SIMPLICITY,IN,FEL1,2025,0.24048000000000003
SIMPLICITY,IN,FEL1,2026,0.24488000000000001
SIMPLICITY,IN,FEL1,2027,0.24968
SIMPLICITY,IN,FEL1,2028,0.25488
SIMPLICITY,IN,FEL1,2029,0.26064
SIMPLICITY,IN,FEL1,2030,0.26688
SIMPLICITY,IN,FEL1,2031,0.27352
SIMPLICITY,IN,FEL1,2032,0.28024
SIMPLICITY,IN,FEL1,2033,0.28712
SIMPLICITY,IN,FEL1,2034,0.29408
SIMPLICITY,IN,FEL1,2035,0.30104000000000003
SIMPLICITY,IN,FEL1,2036,0.3084
SIMPLICITY,IN,FEL1,2037,0.31616
SIMPLICITY,IN,FEL1,2038,0.32432
SIMPLICITY,IN,FEL1,2039,0.33288
SIMPLICITY,IN,FEL1,2040,0.34184000000000003
SIMPLICITY,IN,FEL2,2018,0.024
SIMPLICITY,IN,FEL2,2019,0.032
SIMPLICITY,IN,FEL2,2020,0.04
SIMPLICITY,IN,FEL2,2021,0.055999999999999994
SIMPLICITY,IN,FEL2,2022,0.06
SIMPLICITY,IN,FEL2,2023,0.07200000000000001
SIMPLICITY,IN,FEL2,2024,0.076
SIMPLICITY,IN,FEL2,2025,0.08
SIMPLICITY,IN,FEL2,2026,0.08800000000000001
SIMPLICITY,IN,FEL2,2027,0.096
SIMPLICITY,IN,FEL2,2028,0.1
SIMPLICITY,IN,FEL2,2029,0.1024
SIMPLICITY,IN,FEL2,2030,0.10400000000000001
SIMPLICITY,IN,FEL2,2031,0.10800000000000001
SIMPLICITY,IN,FEL2,2032,0.12
SIMPLICITY,IN,FEL2,2033,0.124
SIMPLICITY,IN,FEL2,2034,0.128
SIMPLICITY,IN,FEL2,2035,0.1312
SIMPLICITY,IN,FEL2,2036,0.136
SIMPLICITY,IN,FEL2,2037,0.1424
SIMPLICITY,IN,FEL2,2038,0.14800000000000002
