REGION,TECHNOLOGY,YEAR,VALUE
SIMPLICITY,GridExp,2018,11.964694
SIMPLICITY,GridExp,2019,4.0577096
SIMPLICITY,GridExp,2020,4.1238793
SIMPLICITY,GridExp,2021,8.373796400000002
SIMPLICITY,GridExp,2022,2.1234581
SIMPLICITY,GridExp,2023,6.4561141
SIMPLICITY,GridExp,2024,2.1792569999999998
SIMPLICITY,GridExp,2025,2.2051799
SIMPLICITY,GridExp,2026,4.4597367
SIMPLICITY,GridExp,2027,4.5067623
SIMPLICITY,GridExp,2028,2.2757742999999997
SIMPLICITY,GridExp,2029,1.3782607
SIMPLICITY,NGCC,2035,14.330955
SIMPLICITY,TD,2014,1.7551862e-06
SIMPLICITY,TD,2016,4.0588983999999995e-08
SIMPLICITY,TD,2017,5.745157e-08
SIMPLICITY,TD,2018,7.229194e-08
SIMPLICITY,TD,2019,7.2675714e-08
SIMPLICITY,TD,2020,7.119118e-08
SIMPLICITY,TD,2021,8.4927924e-08
SIMPLICITY,TD,2022,8.889466e-08
SIMPLICITY,TD,2023,9.845007600000001e-08
SIMPLICITY,TD,2024,6.4895981e-08
SIMPLICITY,TD,2025,4.8537169999999994e-08
SIMPLICITY,TD,2026,5.2930033e-08
SIMPLICITY,TD,2027,5.8350712e-08
SIMPLICITY,TD,2028,6.3841458e-08
SIMPLICITY,TD,2029,7.137939500000001e-08
