REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
SIMPLICITY,ID,Backstop1,FEL1,2030,0.23810919
SIMPLICITY,ID,Backstop1,FEL1,2031,0.28374549
SIMPLICITY,ID,Backstop1,FEL1,2032,0.32954849
SIMPLICITY,ID,Backstop1,FEL1,2033,0.37719055
SIMPLICITY,ID,Backstop1,FEL1,2034,0.42691015
SIMPLICITY,ID,Backstop1,FEL1,2035,0.45156
SIMPLICITY,ID,Backstop1,FEL1,2036,0.4626
SIMPLICITY,ID,Backstop1,FEL1,2037,0.47423999999999994
SIMPLICITY,ID,Backstop1,FEL1,2038,0.48648
SIMPLICITY,ID,Backstop1,FEL1,2039,0.49932
SIMPLICITY,ID,Backstop1,FEL1,2040,0.51276
SIMPLICITY,ID,Backstop2,FEL2,2030,0.156
SIMPLICITY,ID,Backstop2,FEL2,2031,0.162
SIMPLICITY,ID,Backstop2,FEL2,2032,0.18
SIMPLICITY,ID,Backstop2,FEL2,2033,0.18600000000000003
SIMPLICITY,ID,Backstop2,FEL2,2034,0.192
SIMPLICITY,ID,Backstop2,FEL2,2035,0.1968
SIMPLICITY,ID,Backstop2,FEL2,2036,0.204
SIMPLICITY,ID,Backstop2,FEL2,2037,0.2136
SIMPLICITY,ID,Backstop2,FEL2,2038,0.222
SIMPLICITY,ID,Backstop2,FEL2,2039,0.2304
SIMPLICITY,ID,Backstop2,FEL2,2040,0.24600000000000002
SIMPLICITY,ID,GasExtraction,GAS,2014,0.55708901
SIMPLICITY,ID,GasExtraction,GAS,2015,0.55985684
SIMPLICITY,ID,GasExtraction,GAS,2016,0.57218627
SIMPLICITY,ID,GasExtraction,GAS,2017,0.58929651
SIMPLICITY,ID,GasExtraction,GAS,2018,0.69788633
SIMPLICITY,ID,GasExtraction,GAS,2019,0.7479220999999999
SIMPLICITY,ID,GasExtraction,GAS,2020,0.797203
SIMPLICITY,ID,GasExtraction,GAS,2021,0.87915782
SIMPLICITY,ID,GasExtraction,GAS,2022,0.91814067
SIMPLICITY,ID,GasExtraction,GAS,2023,0.98853933
SIMPLICITY,ID,GasExtraction,GAS,2024,1.0002
SIMPLICITY,ID,GasExtraction,GAS,2025,1.0002
SIMPLICITY,ID,GasExtraction,GAS,2026,1.0002
SIMPLICITY,ID,GasExtraction,GAS,2027,1.0002
SIMPLICITY,ID,GasExtraction,GAS,2028,1.0002
SIMPLICITY,ID,GasExtraction,GAS,2029,1.0002
SIMPLICITY,ID,GasExtraction,GAS,2030,0.34013045
SIMPLICITY,ID,GasExtraction,GAS,2031,0.26532288
SIMPLICITY,ID,GasExtraction,GAS,2032,0.19041739
SIMPLICITY,ID,GasExtraction,GAS,2033,0.11215893
SIMPLICITY,ID,GasExtraction,GAS,2034,0.02979581
SIMPLICITY,ID,GasImport,GAS,2024,0.020276796
SIMPLICITY,ID,GasImport,GAS,2025,0.047685079000000005
SIMPLICITY,ID,GasImport,GAS,2026,0.09067545699999999
SIMPLICITY,ID,GasImport,GAS,2027,0.13492394
SIMPLICITY,ID,GasImport,GAS,2028,0.16585492
SIMPLICITY,ID,GasImport,GAS,2029,0.192717
SIMPLICITY,ID,GridExp,FEL2,2018,0.036000000000000004
SIMPLICITY,ID,GridExp,FEL2,2019,0.048
SIMPLICITY,ID,GridExp,FEL2,2020,0.06
SIMPLICITY,ID,GridExp,FEL2,2021,0.084
SIMPLICITY,ID,GridExp,FEL2,2022,0.09
SIMPLICITY,ID,GridExp,FEL2,2023,0.10800000000000001
SIMPLICITY,ID,GridExp,FEL2,2024,0.114
SIMPLICITY,ID,GridExp,FEL2,2025,0.12
SIMPLICITY,ID,GridExp,FEL2,2026,0.132
SIMPLICITY,ID,GridExp,FEL2,2027,0.14400000000000002
SIMPLICITY,ID,GridExp,FEL2,2028,0.15
SIMPLICITY,ID,GridExp,FEL2,2029,0.1536
SIMPLICITY,ID,NGCC,SEC_EL,2014,0.27966316
SIMPLICITY,ID,NGCC,SEC_EL,2015,0.28105263
SIMPLICITY,ID,NGCC,SEC_EL,2016,0.28724211
SIMPLICITY,ID,NGCC,SEC_EL,2017,0.29583158
SIMPLICITY,ID,NGCC,SEC_EL,2018,0.35034454
SIMPLICITY,ID,NGCC,SEC_EL,2019,0.37546290000000004
SIMPLICITY,ID,NGCC,SEC_EL,2020,0.40020231
SIMPLICITY,ID,NGCC,SEC_EL,2021,0.44134429
SIMPLICITY,ID,NGCC,SEC_EL,2022,0.46091399
SIMPLICITY,ID,NGCC,SEC_EL,2023,0.49625469
SIMPLICITY,ID,NGCC,SEC_EL,2024,0.51228755
SIMPLICITY,ID,NGCC,SEC_EL,2025,0.52604673
SIMPLICITY,ID,NGCC,SEC_EL,2026,0.54762824
SIMPLICITY,ID,NGCC,SEC_EL,2027,0.56984134
SIMPLICITY,ID,NGCC,SEC_EL,2028,0.58536893
SIMPLICITY,ID,NGCC,SEC_EL,2029,0.59885392
SIMPLICITY,ID,NGCC,SEC_EL,2030,0.17074822
SIMPLICITY,ID,NGCC,SEC_EL,2031,0.13319422
SIMPLICITY,ID,NGCC,SEC_EL,2032,0.095591059
SIMPLICITY,ID,NGCC,SEC_EL,2033,0.056304682
SIMPLICITY,ID,NGCC,SEC_EL,2034,0.014957736000000001
SIMPLICITY,ID,TD,FEL1,2014,0.26568
SIMPLICITY,ID,TD,FEL1,2015,0.267
SIMPLICITY,ID,TD,FEL1,2016,0.27288
SIMPLICITY,ID,TD,FEL1,2017,0.28104
SIMPLICITY,ID,TD,FEL1,2018,0.29112
SIMPLICITY,ID,TD,FEL1,2019,0.30108
SIMPLICITY,ID,TD,FEL1,2020,0.31068
SIMPLICITY,ID,TD,FEL1,2021,0.32195999999999997
SIMPLICITY,ID,TD,FEL1,2022,0.3336
SIMPLICITY,ID,TD,FEL1,2023,0.34631999999999996
SIMPLICITY,ID,TD,FEL1,2024,0.3546
SIMPLICITY,ID,TD,FEL1,2025,0.36072
SIMPLICITY,ID,TD,FEL1,2026,0.36732
SIMPLICITY,ID,TD,FEL1,2027,0.37451999999999996
SIMPLICITY,ID,TD,FEL1,2028,0.38232
SIMPLICITY,ID,TD,FEL1,2029,0.39096
SIMPLICITY,ID,TD,FEL1,2030,0.16221081
SIMPLICITY,ID,TD,FEL1,2031,0.12653451
SIMPLICITY,ID,TD,FEL1,2032,0.090811506
SIMPLICITY,ID,TD,FEL1,2033,0.053489447999999995
SIMPLICITY,ID,TD,FEL1,2034,0.014209848999999998
SIMPLICITY,IN,Backstop1,FEL1,2030,0.11898318
SIMPLICITY,IN,Backstop1,FEL1,2031,0.14178764
SIMPLICITY,IN,Backstop1,FEL1,2032,0.1646754
SIMPLICITY,IN,Backstop1,FEL1,2033,0.18848214
SIMPLICITY,IN,Backstop1,FEL1,2034,0.21332703
SIMPLICITY,IN,Backstop1,FEL1,2035,0.24095633
SIMPLICITY,IN,Backstop1,FEL1,2036,0.26003109
SIMPLICITY,IN,Backstop1,FEL1,2037,0.27956677
SIMPLICITY,IN,Backstop1,FEL1,2038,0.29956338
SIMPLICITY,IN,Backstop1,FEL1,2039,0.32234527
SIMPLICITY,IN,Backstop1,FEL1,2040,0.34184000000000003
SIMPLICITY,IN,Backstop2,FEL2,2030,0.10400000000000001
SIMPLICITY,IN,Backstop2,FEL2,2031,0.10800000000000001
SIMPLICITY,IN,Backstop2,FEL2,2032,0.12
SIMPLICITY,IN,Backstop2,FEL2,2033,0.124
SIMPLICITY,IN,Backstop2,FEL2,2034,0.128
SIMPLICITY,IN,Backstop2,FEL2,2035,0.1312
SIMPLICITY,IN,Backstop2,FEL2,2036,0.136
SIMPLICITY,IN,Backstop2,FEL2,2037,0.1424
SIMPLICITY,IN,Backstop2,FEL2,2038,0.14800000000000002
SIMPLICITY,IN,Backstop2,FEL2,2039,0.1536
SIMPLICITY,IN,Backstop2,FEL2,2040,0.16399999999999998
SIMPLICITY,IN,GasExtraction,GAS,2014,0.37139267
SIMPLICITY,IN,GasExtraction,GAS,2015,0.37323789
SIMPLICITY,IN,GasExtraction,GAS,2016,0.38145752
SIMPLICITY,IN,GasExtraction,GAS,2017,0.39286434
SIMPLICITY,IN,GasExtraction,GAS,2018,0.46525755
SIMPLICITY,IN,GasExtraction,GAS,2019,0.49861473
SIMPLICITY,IN,GasExtraction,GAS,2020,0.4998
SIMPLICITY,IN,GasExtraction,GAS,2021,0.4998
SIMPLICITY,IN,GasExtraction,GAS,2022,0.4998
SIMPLICITY,IN,GasExtraction,GAS,2023,0.4998
SIMPLICITY,IN,GasExtraction,GAS,2024,0.4998
SIMPLICITY,IN,GasExtraction,GAS,2025,0.4998
SIMPLICITY,IN,GasExtraction,GAS,2026,0.4998
SIMPLICITY,IN,GasExtraction,GAS,2027,0.4998
SIMPLICITY,IN,GasExtraction,GAS,2028,0.4998
SIMPLICITY,IN,GasExtraction,GAS,2029,0.4998
SIMPLICITY,IN,GasExtraction,GAS,2030,0.31011628
SIMPLICITY,IN,GasExtraction,GAS,2031,0.27622196
SIMPLICITY,IN,GasExtraction,GAS,2032,0.24232071
SIMPLICITY,IN,GasExtraction,GAS,2033,0.20682801
SIMPLICITY,IN,GasExtraction,GAS,2034,0.16932623
SIMPLICITY,IN,GasExtraction,GAS,2035,0.12598597
SIMPLICITY,IN,GasExtraction,GAS,2036,0.10142197
SIMPLICITY,IN,GasExtraction,GAS,2037,0.076730221
SIMPLICITY,IN,GasExtraction,GAS,2038,0.051910714000000004
SIMPLICITY,IN,GasExtraction,GAS,2039,0.022089661
SIMPLICITY,IN,GasImport,GAS,2020,0.031668668999999997
SIMPLICITY,IN,GasImport,GAS,2021,0.086305214
SIMPLICITY,IN,GasImport,GAS,2022,0.11229378
SIMPLICITY,IN,GasImport,GAS,2023,0.15922622
SIMPLICITY,IN,GasImport,GAS,2024,0.18051786
SIMPLICITY,IN,GasImport,GAS,2025,0.19879005
SIMPLICITY,IN,GasImport,GAS,2026,0.22745029999999997
SIMPLICITY,IN,GasImport,GAS,2027,0.25694929
SIMPLICITY,IN,GasImport,GAS,2028,0.27756995
SIMPLICITY,IN,GasImport,GAS,2029,0.295478
SIMPLICITY,IN,GridExp,FEL2,2018,0.024
SIMPLICITY,IN,GridExp,FEL2,2019,0.032
SIMPLICITY,IN,GridExp,FEL2,2020,0.04
SIMPLICITY,IN,GridExp,FEL2,2021,0.055999999999999994
SIMPLICITY,IN,GridExp,FEL2,2022,0.06
SIMPLICITY,IN,GridExp,FEL2,2023,0.07200000000000001
SIMPLICITY,IN,GridExp,FEL2,2024,0.076
SIMPLICITY,IN,GridExp,FEL2,2025,0.08
SIMPLICITY,IN,GridExp,FEL2,2026,0.08800000000000001
SIMPLICITY,IN,GridExp,FEL2,2027,0.096
SIMPLICITY,IN,GridExp,FEL2,2028,0.1
SIMPLICITY,IN,GridExp,FEL2,2029,0.1024
SIMPLICITY,IN,NGCC,SEC_EL,2014,0.18644211
SIMPLICITY,IN,NGCC,SEC_EL,2015,0.18736842
SIMPLICITY,IN,NGCC,SEC_EL,2016,0.19149474
SIMPLICITY,IN,NGCC,SEC_EL,2017,0.19722105
SIMPLICITY,IN,NGCC,SEC_EL,2018,0.23356303
SIMPLICITY,IN,NGCC,SEC_EL,2019,0.25030860000000005
SIMPLICITY,IN,NGCC,SEC_EL,2020,0.26680154
SIMPLICITY,IN,NGCC,SEC_EL,2021,0.29422953
SIMPLICITY,IN,NGCC,SEC_EL,2022,0.30727599
SIMPLICITY,IN,NGCC,SEC_EL,2023,0.33083646
SIMPLICITY,IN,NGCC,SEC_EL,2024,0.34152503
SIMPLICITY,IN,NGCC,SEC_EL,2025,0.35069782
SIMPLICITY,IN,NGCC,SEC_EL,2026,0.36508549
SIMPLICITY,IN,NGCC,SEC_EL,2027,0.37989422
SIMPLICITY,IN,NGCC,SEC_EL,2028,0.39024596
SIMPLICITY,IN,NGCC,SEC_EL,2029,0.39923594
SIMPLICITY,IN,NGCC,SEC_EL,2030,0.15568087
SIMPLICITY,IN,NGCC,SEC_EL,2031,0.13866564
SIMPLICITY,IN,NGCC,SEC_EL,2032,0.12164695
SIMPLICITY,IN,NGCC,SEC_EL,2033,0.10382932
SIMPLICITY,IN,NGCC,SEC_EL,2034,0.08500312800000001
SIMPLICITY,IN,NGCC,SEC_EL,2035,0.063245971
SIMPLICITY,IN,NGCC,SEC_EL,2036,0.050914645999999994
SIMPLICITY,IN,NGCC,SEC_EL,2037,0.038519187
SIMPLICITY,IN,NGCC,SEC_EL,2038,0.026059596
SIMPLICITY,IN,NGCC,SEC_EL,2039,0.011089187
SIMPLICITY,IN,TD,FEL1,2014,0.17712
SIMPLICITY,IN,TD,FEL1,2015,0.17800000000000002
SIMPLICITY,IN,TD,FEL1,2016,0.18192
SIMPLICITY,IN,TD,FEL1,2017,0.18736
SIMPLICITY,IN,TD,FEL1,2018,0.19408
SIMPLICITY,IN,TD,FEL1,2019,0.20072
SIMPLICITY,IN,TD,FEL1,2020,0.20711999999999997
SIMPLICITY,IN,TD,FEL1,2021,0.21464
SIMPLICITY,IN,TD,FEL1,2022,0.2224
SIMPLICITY,IN,TD,FEL1,2023,0.23088000000000003
SIMPLICITY,IN,TD,FEL1,2024,0.2364
SIMPLICITY,IN,TD,FEL1,2025,0.24048000000000003
SIMPLICITY,IN,TD,FEL1,2026,0.24488000000000001
SIMPLICITY,IN,TD,FEL1,2027,0.24968
SIMPLICITY,IN,TD,FEL1,2028,0.25488
SIMPLICITY,IN,TD,FEL1,2029,0.26064
SIMPLICITY,IN,TD,FEL1,2030,0.14789682
SIMPLICITY,IN,TD,FEL1,2031,0.13173236
SIMPLICITY,IN,TD,FEL1,2032,0.11556459999999999
SIMPLICITY,IN,TD,FEL1,2033,0.09863785800000001
SIMPLICITY,IN,TD,FEL1,2034,0.080752972
SIMPLICITY,IN,TD,FEL1,2035,0.060083672000000005
SIMPLICITY,IN,TD,FEL1,2036,0.048368913
SIMPLICITY,IN,TD,FEL1,2037,0.036593228
SIMPLICITY,IN,TD,FEL1,2038,0.024756616000000002
SIMPLICITY,IN,TD,FEL1,2039,0.010534728
SIMPLICITY,SD,Backstop1,FEL1,2030,0.23810919
SIMPLICITY,SD,Backstop1,FEL1,2031,0.28374549
SIMPLICITY,SD,Backstop1,FEL1,2032,0.32954849
SIMPLICITY,SD,Backstop1,FEL1,2033,0.37719055
SIMPLICITY,SD,Backstop1,FEL1,2034,0.42691015
SIMPLICITY,SD,Backstop1,FEL1,2035,0.48220192
SIMPLICITY,SD,Backstop1,FEL1,2036,0.52037434
SIMPLICITY,SD,Backstop1,FEL1,2037,0.55946916
SIMPLICITY,SD,Backstop1,FEL1,2038,0.59948639
SIMPLICITY,SD,Backstop1,FEL1,2039,0.62415
SIMPLICITY,SD,Backstop1,FEL1,2040,0.64095
SIMPLICITY,SD,Backstop2,FEL2,2030,0.195
SIMPLICITY,SD,Backstop2,FEL2,2031,0.2025
SIMPLICITY,SD,Backstop2,FEL2,2032,0.225
SIMPLICITY,SD,Backstop2,FEL2,2033,0.2325
SIMPLICITY,SD,Backstop2,FEL2,2034,0.24
SIMPLICITY,SD,Backstop2,FEL2,2035,0.24600000000000002
SIMPLICITY,SD,Backstop2,FEL2,2036,0.255
SIMPLICITY,SD,Backstop2,FEL2,2037,0.267
SIMPLICITY,SD,Backstop2,FEL2,2038,0.2775
SIMPLICITY,SD,Backstop2,FEL2,2039,0.28800000000000003
SIMPLICITY,SD,Backstop2,FEL2,2040,0.3075
SIMPLICITY,SD,GasExtraction,GAS,2014,0.69636126
