REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
SIMPLICITY,ID,Backstop1,1,2030,1.4283695
SIMPLICITY,ID,Backstop1,1,2031,1.7021325
SIMPLICITY,ID,Backstop1,1,2032,1.9768956000000002
SIMPLICITY,ID,Backstop1,1,2033,2.2626908
SIMPLICITY,ID,Backstop1,1,2034,2.5609487
SIMPLICITY,ID,Backstop1,1,2035,2.7088182
SIMPLICITY,ID,Backstop1,1,2036,2.775045
SIMPLICITY,ID,Backstop1,1,2037,2.844871
SIMPLICITY,ID,Backstop1,1,2038,2.9182963
SIMPLICITY,ID,Backstop1,1,2039,2.9953209
SIMPLICITY,ID,Backstop1,1,2040,3.0759448
SIMPLICITY,IN,Backstop1,1,2030,1.4283695
SIMPLICITY,IN,Backstop1,1,2031,1.7021325
SIMPLICITY,IN,Backstop1,1,2032,1.9768956000000002
SIMPLICITY,IN,Backstop1,1,2033,2.2626908
SIMPLICITY,IN,Backstop1,1,2034,2.5609487
SIMPLICITY,IN,Backstop1,1,2035,2.892633
SIMPLICITY,IN,Backstop1,1,2036,3.1216217
SIMPLICITY,IN,Backstop1,1,2037,3.3561437000000005
SIMPLICITY,IN,Backstop1,1,2038,3.5961991
SIMPLICITY,IN,Backstop1,1,2039,3.8696911
SIMPLICITY,IN,Backstop1,1,2040,4.1037215
SIMPLICITY,SD,Backstop1,1,2030,1.4283695
SIMPLICITY,SD,Backstop1,1,2031,1.7021325
SIMPLICITY,SD,Backstop1,1,2032,1.9768956000000002
SIMPLICITY,SD,Backstop1,1,2033,2.2626908
SIMPLICITY,SD,Backstop1,1,2034,2.5609487
SIMPLICITY,SD,Backstop1,1,2035,2.892633
SIMPLICITY,SD,Backstop1,1,2036,3.1216217
SIMPLICITY,SD,Backstop1,1,2037,3.3561437000000005
SIMPLICITY,SD,Backstop1,1,2038,3.5961991
SIMPLICITY,SD,Backstop1,1,2039,3.7441512
SIMPLICITY,SD,Backstop1,1,2040,3.844931
SIMPLICITY,SN,Backstop1,1,2030,1.4283695
SIMPLICITY,SN,Backstop1,1,2031,1.7021325
SIMPLICITY,SN,Backstop1,1,2032,1.9768956000000002
SIMPLICITY,SN,Backstop1,1,2033,2.1542617
SIMPLICITY,SN,Backstop1,1,2034,2.2064826
SIMPLICITY,SN,Backstop1,1,2035,2.2587035
SIMPLICITY,SN,Backstop1,1,2036,2.3139256
SIMPLICITY,SN,Backstop1,1,2037,2.3721488999999996
SIMPLICITY,SN,Backstop1,1,2038,2.4333732999999995
SIMPLICITY,SN,Backstop1,1,2039,2.497599
SIMPLICITY,SN,Backstop1,1,2040,2.5648258999999998
SIMPLICITY,WD,Backstop1,1,2030,1.4283695
SIMPLICITY,WD,Backstop1,1,2031,1.7021325
SIMPLICITY,WD,Backstop1,1,2032,1.9768956000000002
SIMPLICITY,WD,Backstop1,1,2033,2.2626908
SIMPLICITY,WD,Backstop1,1,2034,2.5609487
SIMPLICITY,WD,Backstop1,1,2035,2.892633
SIMPLICITY,WD,Backstop1,1,2036,3.1216217
SIMPLICITY,WD,Backstop1,1,2037,3.3561437000000005
SIMPLICITY,WD,Backstop1,1,2038,3.5961991
SIMPLICITY,WD,Backstop1,1,2039,3.8696911
SIMPLICITY,WD,Backstop1,1,2040,4.173784700000001
SIMPLICITY,WN,Backstop1,1,2030,1.4283695
SIMPLICITY,WN,Backstop1,1,2031,1.7021325
SIMPLICITY,WN,Backstop1,1,2032,1.9768956000000002
SIMPLICITY,WN,Backstop1,1,2033,2.2626908
SIMPLICITY,WN,Backstop1,1,2034,2.5609487
SIMPLICITY,WN,Backstop1,1,2035,2.892633
SIMPLICITY,WN,Backstop1,1,2036,3.1216217
SIMPLICITY,WN,Backstop1,1,2037,3.3561437000000005
SIMPLICITY,WN,Backstop1,1,2038,3.5961991
SIMPLICITY,WN,Backstop1,1,2039,3.8696911
SIMPLICITY,WN,Backstop1,1,2040,4.173784700000001
SIMPLICITY,ID,Backstop2,1,2030,0.93581284
SIMPLICITY,ID,Backstop2,1,2031,0.97180564
SIMPLICITY,ID,Backstop2,1,2032,1.079784
SIMPLICITY,ID,Backstop2,1,2033,1.1157768
SIMPLICITY,ID,Backstop2,1,2034,1.1517696000000002
SIMPLICITY,ID,Backstop2,1,2035,1.1805638999999999
SIMPLICITY,ID,Backstop2,1,2036,1.2237552
SIMPLICITY,ID,Backstop2,1,2037,1.2813437
SIMPLICITY,ID,Backstop2,1,2038,1.3317337
SIMPLICITY,ID,Backstop2,1,2039,1.3821236000000001
SIMPLICITY,ID,Backstop2,1,2040,1.4757049
SIMPLICITY,IN,Backstop2,1,2030,1.2484993999999998
SIMPLICITY,IN,Backstop2,1,2031,1.2965186000000002
SIMPLICITY,IN,Backstop2,1,2032,1.4405762
SIMPLICITY,IN,Backstop2,1,2033,1.4885954
SIMPLICITY,IN,Backstop2,1,2034,1.5366146
SIMPLICITY,IN,Backstop2,1,2035,1.57503
SIMPLICITY,IN,Backstop2,1,2036,1.6326531000000002
SIMPLICITY,IN,Backstop2,1,2037,1.7094837999999999
SIMPLICITY,IN,Backstop2,1,2038,1.7767107
SIMPLICITY,IN,Backstop2,1,2039,1.8439376
SIMPLICITY,IN,Backstop2,1,2040,1.9687875
SIMPLICITY,SD,Backstop2,1,2030,1.169766
SIMPLICITY,SD,Backstop2,1,2031,1.2147569999999999
SIMPLICITY,SD,Backstop2,1,2032,1.3497301000000002
SIMPLICITY,SD,Backstop2,1,2033,1.3947211000000002
SIMPLICITY,SD,Backstop2,1,2034,1.4397121000000002
SIMPLICITY,SD,Backstop2,1,2035,1.4757049
SIMPLICITY,SD,Backstop2,1,2036,1.5296941000000002
SIMPLICITY,SD,Backstop2,1,2037,1.6016796999999998
SIMPLICITY,SD,Backstop2,1,2038,1.6646671000000002
SIMPLICITY,SD,Backstop2,1,2039,1.7276544999999999
SIMPLICITY,SD,Backstop2,1,2040,1.8446311000000002
SIMPLICITY,SN,Backstop2,1,2030,0.78031212
SIMPLICITY,SN,Backstop2,1,2031,0.81032413
SIMPLICITY,SN,Backstop2,1,2032,0.90036014
SIMPLICITY,SN,Backstop2,1,2033,0.93037215
SIMPLICITY,SN,Backstop2,1,2034,0.96038415
SIMPLICITY,SN,Backstop2,1,2035,0.98439376
SIMPLICITY,SN,Backstop2,1,2036,1.0204082
SIMPLICITY,SN,Backstop2,1,2037,1.0684274
SIMPLICITY,SN,Backstop2,1,2038,1.1104441999999999
SIMPLICITY,SN,Backstop2,1,2039,1.152461
SIMPLICITY,SN,Backstop2,1,2040,1.2304921999999998
SIMPLICITY,WD,Backstop2,1,2030,1.5601559999999999
SIMPLICITY,WD,Backstop2,1,2031,1.620162
SIMPLICITY,WD,Backstop2,1,2032,1.80018
SIMPLICITY,WD,Backstop2,1,2033,1.8601860000000001
SIMPLICITY,WD,Backstop2,1,2034,1.920192
SIMPLICITY,WD,Backstop2,1,2035,1.9681968
SIMPLICITY,WD,Backstop2,1,2036,2.040204
SIMPLICITY,WD,Backstop2,1,2037,2.1362136
SIMPLICITY,WD,Backstop2,1,2038,2.220222
SIMPLICITY,WD,Backstop2,1,2039,2.3042304
SIMPLICITY,WD,Backstop2,1,2040,2.4602459999999997
SIMPLICITY,WN,Backstop2,1,2030,1.5596881
SIMPLICITY,WN,Backstop2,1,2031,1.6196761
SIMPLICITY,WN,Backstop2,1,2032,1.7996401000000002
SIMPLICITY,WN,Backstop2,1,2033,1.8596281000000003
SIMPLICITY,WN,Backstop2,1,2034,1.9196161
SIMPLICITY,WN,Backstop2,1,2035,1.9676064999999998
SIMPLICITY,WN,Backstop2,1,2036,2.0395921
SIMPLICITY,WN,Backstop2,1,2037,2.1355729
SIMPLICITY,WN,Backstop2,1,2038,2.2195561
SIMPLICITY,WN,Backstop2,1,2039,2.3035392999999997
SIMPLICITY,WN,Backstop2,1,2040,2.4595081000000003
SIMPLICITY,ID,GasExtraction,1,2014,3.3418657
SIMPLICITY,ID,GasExtraction,1,2015,3.3584693999999997
SIMPLICITY,ID,GasExtraction,1,2016,3.4324312000000003
SIMPLICITY,ID,GasExtraction,1,2017,3.535072
SIMPLICITY,ID,GasExtraction,1,2018,4.1864807
SIMPLICITY,ID,GasExtraction,1,2019,4.4866353
SIMPLICITY,ID,GasExtraction,1,2020,4.782261599999999
SIMPLICITY,ID,GasExtraction,1,2021,5.273892099999999
SIMPLICITY,ID,GasExtraction,1,2022,5.5077425
SIMPLICITY,ID,GasExtraction,1,2023,5.93005
SIMPLICITY,ID,GasExtraction,1,2024,6.0
SIMPLICITY,ID,GasExtraction,1,2025,6.0
SIMPLICITY,ID,GasExtraction,1,2026,6.0
SIMPLICITY,ID,GasExtraction,1,2027,6.0
SIMPLICITY,ID,GasExtraction,1,2028,6.0
SIMPLICITY,ID,GasExtraction,1,2029,6.0
SIMPLICITY,ID,GasExtraction,1,2030,2.0403746
SIMPLICITY,ID,GasExtraction,1,2031,1.5916190000000001
SIMPLICITY,ID,GasExtraction,1,2032,1.1422758999999998
SIMPLICITY,ID,GasExtraction,1,2033,0.67281899
SIMPLICITY,ID,GasExtraction,1,2034,0.17873911
