REGION,TECHNOLOGY,YEAR,VALUE
SIMPLICITY,GridExp,2018,44.669662
SIMPLICITY,GridExp,2019,15.149281
SIMPLICITY,GridExp,2020,15.396323
SIMPLICITY,GridExp,2021,31.263203000000004
SIMPLICITY,GridExp,2022,7.9278379
SIMPLICITY,GridExp,2023,24.103620000000003
SIMPLICITY,GridExp,2024,8.136161
SIMPLICITY,GridExp,2025,8.232942900000001
SIMPLICITY,GridExp,2026,16.650232
SIMPLICITY,GridExp,2027,16.8258
SIMPLICITY,GridExp,2028,8.496504
SIMPLICITY,GridExp,2029,5.145676
SIMPLICITY,NGCC,2035,53.503995999999994
SIMPLICITY,TD,2014,6.5529109000000006e-06
SIMPLICITY,TD,2015,3.3305782e-08
SIMPLICITY,TD,2016,1.5153720000000003e-07
SIMPLICITY,TD,2017,2.1449293e-07
SIMPLICITY,TD,2018,2.698988e-07
SIMPLICITY,TD,2019,2.7133159999999996e-07
SIMPLICITY,TD,2020,2.6578915999999997e-07
SIMPLICITY,TD,2021,3.1707469e-07
SIMPLICITY,TD,2022,3.3188433e-07
SIMPLICITY,TD,2023,3.6755906e-07
SIMPLICITY,TD,2024,2.4228631e-07
SIMPLICITY,TD,2025,1.8121141000000003e-07
SIMPLICITY,TD,2026,1.9761196999999998e-07
SIMPLICITY,TD,2027,2.1784983999999998e-07
SIMPLICITY,TD,2028,2.383493e-07
SIMPLICITY,TD,2029,2.6649185e-07
