REGION,TECHNOLOGY,YEAR,VALUE
SIMPLICITY,Backstop1,2030,1.4283695
SIMPLICITY,Backstop1,2031,1.7021325
SIMPLICITY,Backstop1,2032,1.9768956000000002
SIMPLICITY,Backstop1,2033,2.2536586
SIMPLICITY,Backstop1,2034,2.5314217
SIMPLICITY,Backstop1,2035,2.8091847000000003
SIMPLICITY,Backstop1,2036,2.9965662999999996
SIMPLICITY,Backstop1,2037,3.1889477999999998
SIMPLICITY,Backstop1,2038,3.3863293
SIMPLICITY,Backstop1,2039,3.5887108
SIMPLICITY,Backstop1,2040,3.7960924
SIMPLICITY,Backstop2,2030,1.3
SIMPLICITY,Backstop2,2031,1.35
SIMPLICITY,Backstop2,2032,1.5
SIMPLICITY,Backstop2,2033,1.55
SIMPLICITY,Backstop2,2034,1.6
SIMPLICITY,Backstop2,2035,1.64
SIMPLICITY,Backstop2,2036,1.7
SIMPLICITY,Backstop2,2037,1.78
SIMPLICITY,Backstop2,2038,1.85
SIMPLICITY,Backstop2,2039,1.92
SIMPLICITY,Backstop2,2040,2.05
SIMPLICITY,GasExtraction,2014,4.6424084
SIMPLICITY,GasExtraction,2015,4.6654737
SIMPLICITY,GasExtraction,2016,4.768218900000001
SIMPLICITY,GasExtraction,2017,4.9108042
SIMPLICITY,GasExtraction,2018,5.326287799999999
SIMPLICITY,GasExtraction,2019,5.4930737
SIMPLICITY,GasExtraction,2020,5.6256747
SIMPLICITY,GasExtraction,2021,5.7454735999999995
SIMPLICITY,GasExtraction,2022,5.8006993
SIMPLICITY,GasExtraction,2023,5.9004307
SIMPLICITY,GasExtraction,2024,5.9253987
SIMPLICITY,GasExtraction,2025,5.936818799999999
SIMPLICITY,GasExtraction,2026,5.954731400000001
SIMPLICITY,GasExtraction,2027,5.973168299999999
SIMPLICITY,GasExtraction,2028,5.9860562
SIMPLICITY,GasExtraction,2029,5.9972487
SIMPLICITY,GasExtraction,2030,4.0
SIMPLICITY,GasExtraction,2031,3.6
SIMPLICITY,GasExtraction,2032,3.2
SIMPLICITY,GasExtraction,2033,2.8
SIMPLICITY,GasExtraction,2034,2.4
SIMPLICITY,GasExtraction,2035,2.0
SIMPLICITY,GasExtraction,2036,1.8
SIMPLICITY,GasExtraction,2037,1.6
SIMPLICITY,GasExtraction,2038,1.4
SIMPLICITY,GasExtraction,2039,1.2
SIMPLICITY,GasExtraction,2040,1.0
SIMPLICITY,GasImport,2018,0.48943166
SIMPLICITY,GasImport,2019,0.7396105
SIMPLICITY,GasImport,2020,1.0176836999999999
SIMPLICITY,GasImport,2021,1.5808416
SIMPLICITY,GasImport,2022,1.850473
SIMPLICITY,GasImport,2023,2.3373971
SIMPLICITY,GasImport,2024,2.5785746
SIMPLICITY,GasImport,2025,2.7955569
SIMPLICITY,GasImport,2026,3.1358973999999997
SIMPLICITY,GasImport,2027,3.4861979
SIMPLICITY,GasImport,2028,3.7310681000000003
SIMPLICITY,GasImport,2029,3.9437262000000004
SIMPLICITY,GridExp,2018,0.36585366
SIMPLICITY,GridExp,2019,0.48780488
SIMPLICITY,GridExp,2020,0.6097561
SIMPLICITY,GridExp,2021,0.85365854
SIMPLICITY,GridExp,2022,0.91463415
SIMPLICITY,GridExp,2023,1.097561
SIMPLICITY,GridExp,2024,1.1585366000000001
SIMPLICITY,GridExp,2025,1.2195122
SIMPLICITY,GridExp,2026,1.3414633999999999
SIMPLICITY,GridExp,2027,1.4634146000000001
SIMPLICITY,GridExp,2028,1.5243902
SIMPLICITY,GridExp,2029,1.5609756000000001
SIMPLICITY,NGCC,2014,2.3305263
SIMPLICITY,NGCC,2015,2.3421053
SIMPLICITY,NGCC,2016,2.3936842
SIMPLICITY,NGCC,2017,2.4652632000000003
SIMPLICITY,NGCC,2018,2.9195379
SIMPLICITY,NGCC,2019,3.1288575
SIMPLICITY,NGCC,2020,3.3350193
SIMPLICITY,NGCC,2021,3.6778690999999997
SIMPLICITY,NGCC,2022,3.8409498999999996
SIMPLICITY,NGCC,2023,4.1354557000000005
SIMPLICITY,NGCC,2024,4.2690629
SIMPLICITY,NGCC,2025,4.3837227
SIMPLICITY,NGCC,2026,4.5635687
SIMPLICITY,NGCC,2027,4.7486778
SIMPLICITY,NGCC,2028,4.8780745
SIMPLICITY,NGCC,2029,4.9904493
SIMPLICITY,NGCC,2030,2.0080321
SIMPLICITY,NGCC,2031,1.8072289000000001
SIMPLICITY,NGCC,2032,1.6064257
SIMPLICITY,NGCC,2033,1.4056225
SIMPLICITY,NGCC,2034,1.2048193
SIMPLICITY,NGCC,2035,1.0040161
SIMPLICITY,NGCC,2036,0.90361446
SIMPLICITY,NGCC,2037,0.80321285
SIMPLICITY,NGCC,2038,0.70281124
SIMPLICITY,NGCC,2039,0.60240964
SIMPLICITY,NGCC,2040,0.50200803
SIMPLICITY,TD,2014,2.3305263
SIMPLICITY,TD,2015,2.3421053
SIMPLICITY,TD,2016,2.3936842
SIMPLICITY,TD,2017,2.4652632000000003
SIMPLICITY,TD,2018,2.5536842
SIMPLICITY,TD,2019,2.6410526
SIMPLICITY,TD,2020,2.7252632
SIMPLICITY,TD,2021,2.8242105
SIMPLICITY,TD,2022,2.9263158
SIMPLICITY,TD,2023,3.0378947
SIMPLICITY,TD,2024,3.1105263
SIMPLICITY,TD,2025,3.1642105
SIMPLICITY,TD,2026,3.2221053
SIMPLICITY,TD,2027,3.2852632000000006
SIMPLICITY,TD,2028,3.3536842000000004
SIMPLICITY,TD,2029,3.4294737
SIMPLICITY,TD,2030,2.0080321
SIMPLICITY,TD,2031,1.8072289000000001
SIMPLICITY,TD,2032,1.6064257
SIMPLICITY,TD,2033,1.4056225
SIMPLICITY,TD,2034,1.2048193
SIMPLICITY,TD,2035,1.0040161
SIMPLICITY,TD,2036,0.90361446
SIMPLICITY,TD,2037,0.80321285
SIMPLICITY,TD,2038,0.70281124
SIMPLICITY,TD,2039,0.60240964
SIMPLICITY,TD,2040,0.50200803
