REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
SIMPLICITY,ID,GasExtraction,1,GAS,2015,3.3418657
SIMPLICITY,ID,NGCC1,1,SEC_EL,2015,1.6776433999999998
SIMPLICITY,ID,TD,1,FEL,2015,1.5937612299999997
SIMPLICITY,IN,GasExtraction,1,GAS,2015,4.458495500000001
SIMPLICITY,IN,NGCC1,1,SEC_EL,2015,2.2382005
SIMPLICITY,IN,TD,1,FEL,2015,2.126290475
SIMPLICITY,SD,GasExtraction,1,GAS,2015,4.1773321
SIMPLICITY,SD,NGCC1,1,SEC_EL,2015,2.0970543
SIMPLICITY,SD,TD,1,FEL,2015,1.9922015849999999
SIMPLICITY,SN,GasExtraction,1,GAS,2015,2.7865597
SIMPLICITY,SN,NGCC1,1,SEC_EL,2015,1.3988753
SIMPLICITY,SN,TD,1,FEL,2015,1.328931535
SIMPLICITY,WD,GasExtraction,1,GAS,2015,5.571447200000001
SIMPLICITY,WD,NGCC1,1,SEC_EL,2015,2.7969112999999997
SIMPLICITY,WD,TD,1,FEL,2015,2.6570657349999998
SIMPLICITY,WN,GasExtraction,1,GAS,2015,5.569776200000001
SIMPLICITY,WN,NGCC1,1,SEC_EL,2015,2.7960724
SIMPLICITY,WN,TD,1,FEL,2015,2.65626878
