REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
SIMPLICITY,ID,NGCC1,GAS,2015,3.3418656527999997
SIMPLICITY,ID,TD,SEC_EL,2015,1.6776433999999998
SIMPLICITY,IN,NGCC1,GAS,2015,4.458495396
SIMPLICITY,IN,TD,SEC_EL,2015,2.2382005
SIMPLICITY,SD,NGCC1,GAS,2015,4.1773321656
SIMPLICITY,SD,TD,SEC_EL,2015,2.0970543
SIMPLICITY,SN,NGCC1,GAS,2015,2.7865595976
SIMPLICITY,SN,TD,SEC_EL,2015,1.3988753
SIMPLICITY,WD,NGCC1,GAS,2015,5.571447309599999
SIMPLICITY,WD,TD,SEC_EL,2015,2.7969112999999997
SIMPLICITY,WN,NGCC1,GAS,2015,5.5697762208
SIMPLICITY,WN,TD,SEC_EL,2015,2.7960724
