TIMESLICE,YEAR,REGION,TECHNOLOGY,MODE_OF_OPERATION,VALUE
ID,2015,SIMPLICITY,GasExtraction,1,0.55708901219
ID,2015,SIMPLICITY,NGCC1,1,0.2796631547799999
ID,2015,SIMPLICITY,TD,1,0.2796631547799999
IN,2015,SIMPLICITY,GasExtraction,1,0.3713926751500001
IN,2015,SIMPLICITY,NGCC1,1,0.18644210165
IN,2015,SIMPLICITY,TD,1,0.18644210165
SD,2015,SIMPLICITY,GasExtraction,1,0.69636126107
SD,2015,SIMPLICITY,NGCC1,1,0.34957895181
SD,2015,SIMPLICITY,TD,1,0.34957895181
SN,2015,SIMPLICITY,GasExtraction,1,0.23212042301000002
SN,2015,SIMPLICITY,NGCC1,1,0.11652631249
SN,2015,SIMPLICITY,TD,1,0.11652631249
WD,2015,SIMPLICITY,GasExtraction,1,1.8569633517600002
WD,2015,SIMPLICITY,NGCC1,1,0.9322105362899998
WD,2015,SIMPLICITY,TD,1,0.9322105362899998
WN,2015,SIMPLICITY,GasExtraction,1,0.92848169254
WN,2015,SIMPLICITY,NGCC1,1,0.46610526907999994
WN,2015,SIMPLICITY,TD,1,0.46610526907999994
