REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
SIMPLICITY,ID,GasImport2,GAS,2015,0.55708901219
SIMPLICITY,ID,NGCC1,SEC_EL,2015,0.2796631547799999
SIMPLICITY,ID,TD,FEL,2015,0.2656799970409999
SIMPLICITY,IN,GasImport2,GAS,2015,0.3713926751500001
SIMPLICITY,IN,NGCC1,SEC_EL,2015,0.18644210165
SIMPLICITY,IN,TD,FEL,2015,0.1771199965675
SIMPLICITY,SD,GasImport2,GAS,2015,0.69636126107
SIMPLICITY,SD,NGCC1,SEC_EL,2015,0.34957895181
SIMPLICITY,SD,TD,FEL,2015,0.3321000042195
SIMPLICITY,SN,GasImport2,GAS,2015,0.23212042301000002
SIMPLICITY,SN,NGCC1,SEC_EL,2015,0.11652631249
SIMPLICITY,SN,TD,FEL,2015,0.1106999968655
SIMPLICITY,WD,GasImport2,GAS,2015,1.8569633517600002
SIMPLICITY,WD,NGCC1,SEC_EL,2015,0.9322105362899998
SIMPLICITY,WD,TD,FEL,2015,0.8856000094754998
SIMPLICITY,WN,GasImport2,GAS,2015,0.92848169254
SIMPLICITY,WN,NGCC1,SEC_EL,2015,0.46610526907999994
SIMPLICITY,WN,TD,FEL,2015,0.4428000056259999
