REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
SIMPLICITY,ID,GasExtraction,1,2015,2.503044
SIMPLICITY,IN,GasExtraction,1,2015,3.0
SIMPLICITY,SD,GasExtraction,1,2015,3.0
SIMPLICITY,SN,GasExtraction,1,2015,2.087122
SIMPLICITY,WD,GasExtraction,1,2015,3.0
SIMPLICITY,WN,GasExtraction,1,2015,3.0
SIMPLICITY,IN,GasImport1,1,2015,0.33939521
SIMPLICITY,SD,GasImport1,1,2015,0.12880498
SIMPLICITY,WD,GasImport1,1,2015,1.1729916
SIMPLICITY,WN,GasImport1,1,2015,1.17174
SIMPLICITY,ID,NGCC2,1,2015,1.6776433999999998
SIMPLICITY,IN,NGCC2,1,2015,2.2382005
SIMPLICITY,SD,NGCC2,1,2015,2.0970543
SIMPLICITY,SN,NGCC2,1,2015,1.3988753
SIMPLICITY,WD,NGCC2,1,2015,2.7969112999999997
SIMPLICITY,WN,NGCC2,1,2015,2.7960724
SIMPLICITY,ID,TD,1,2015,1.6776433999999998
SIMPLICITY,IN,TD,1,2015,2.2382005
SIMPLICITY,SD,TD,1,2015,2.0970543
SIMPLICITY,SN,TD,1,2015,1.3988753
SIMPLICITY,WD,TD,1,2015,2.7969112999999997
SIMPLICITY,WN,TD,1,2015,2.7960724
