REGION,TECHNOLOGY,YEAR,VALUE
SIMPLICITY,Backstop1,2030,1428368.0
SIMPLICITY,Backstop1,2031,1702130.8
SIMPLICITY,Backstop1,2032,1976893.6
SIMPLICITY,Backstop1,2033,2253656.4
SIMPLICITY,Backstop1,2034,2531419.2
SIMPLICITY,Backstop1,2035,2809181.9
SIMPLICITY,Backstop1,2036,2996563.3
SIMPLICITY,Backstop1,2037,3188944.6
SIMPLICITY,Backstop1,2038,3386325.9
SIMPLICITY,Backstop1,2039,3588707.3
SIMPLICITY,Backstop1,2040,3796088.6
SIMPLICITY,Backstop2,2030,428999.57
SIMPLICITY,Backstop2,2031,445499.55
SIMPLICITY,Backstop2,2032,494999.5
SIMPLICITY,Backstop2,2033,511499.49
SIMPLICITY,Backstop2,2034,527999.47
SIMPLICITY,Backstop2,2035,541199.46
SIMPLICITY,Backstop2,2036,560999.44
SIMPLICITY,Backstop2,2037,587399.41
SIMPLICITY,Backstop2,2038,610499.39
SIMPLICITY,Backstop2,2039,633599.37
SIMPLICITY,Backstop2,2040,676499.32
SIMPLICITY,GasExtraction,2014,34.818063
SIMPLICITY,GasExtraction,2015,34.991053
SIMPLICITY,GasExtraction,2016,35.761641999999995
SIMPLICITY,GasExtraction,2017,36.831032
SIMPLICITY,GasExtraction,2018,39.94624
SIMPLICITY,GasExtraction,2019,41.197134000000005
SIMPLICITY,GasExtraction,2020,45.003765
SIMPLICITY,GasExtraction,2021,45.962809
SIMPLICITY,GasExtraction,2022,46.404545
SIMPLICITY,GasExtraction,2023,47.202186
SIMPLICITY,GasExtraction,2024,47.403189000000005
SIMPLICITY,GasExtraction,2025,50.462959999999995
SIMPLICITY,GasExtraction,2026,50.615217
SIMPLICITY,GasExtraction,2027,50.771931
SIMPLICITY,GasExtraction,2028,50.881478
SIMPLICITY,GasExtraction,2029,50.976614
SIMPLICITY,GasExtraction,2030,36.0
SIMPLICITY,GasExtraction,2031,32.4
SIMPLICITY,GasExtraction,2032,28.8
SIMPLICITY,GasExtraction,2033,25.2
SIMPLICITY,GasExtraction,2034,21.6
SIMPLICITY,GasExtraction,2035,19.0
SIMPLICITY,GasExtraction,2036,17.1
SIMPLICITY,GasExtraction,2037,15.2
SIMPLICITY,GasExtraction,2038,13.3
SIMPLICITY,GasExtraction,2039,11.4
SIMPLICITY,GasExtraction,2040,10.0
SIMPLICITY,GasImport,2018,4.1594259
SIMPLICITY,GasImport,2019,6.285946
SIMPLICITY,GasImport,2020,8.6490726
SIMPLICITY,GasImport,2021,14.224269
SIMPLICITY,GasImport,2022,16.650714999999998
SIMPLICITY,GasImport,2023,21.032324
SIMPLICITY,GasImport,2024,23.201504999999997
SIMPLICITY,GasImport,2025,25.151951999999998
SIMPLICITY,GasImport,2026,29.782518
SIMPLICITY,GasImport,2027,33.110372
SIMPLICITY,GasImport,2028,35.436640000000004
SIMPLICITY,GasImport,2029,37.456891999999996
SIMPLICITY,GridExp,2018,3.6574829999999996e-05
SIMPLICITY,GridExp,2019,4.8769951e-05
SIMPLICITY,GridExp,2020,6.0958049e-05
SIMPLICITY,GridExp,2021,8.534126899999999e-05
SIMPLICITY,GridExp,2022,9.143707399999999e-05
SIMPLICITY,GridExp,2023,0.00010972448999999999
SIMPLICITY,GridExp,2024,0.00011582205
SIMPLICITY,GridExp,2025,0.00012190626
SIMPLICITY,GridExp,2026,0.00013410138999999998
SIMPLICITY,GridExp,2027,0.00014629651000000002
SIMPLICITY,GridExp,2028,0.00015239407
SIMPLICITY,GridExp,2029,0.00015605261
SIMPLICITY,NGCC,2014,0.00023305262999999998
SIMPLICITY,NGCC,2015,0.00023421053
SIMPLICITY,NGCC,2016,0.00023936842
SIMPLICITY,NGCC,2017,0.00024652632
SIMPLICITY,NGCC,2018,0.00029194325
SIMPLICITY,NGCC,2019,0.00031287521000000003
SIMPLICITY,NGCC,2020,0.00033348437000000003
SIMPLICITY,NGCC,2021,0.00036776232
SIMPLICITY,NGCC,2022,0.00038406865
SIMPLICITY,NGCC,2023,0.00041351396
SIMPLICITY,NGCC,2024,0.00042687468
SIMPLICITY,NGCC,2025,0.00043832732000000004
SIMPLICITY,NGCC,2026,0.00045631191
SIMPLICITY,NGCC,2027,0.00047482282
SIMPLICITY,NGCC,2028,0.00048776249000000003
SIMPLICITY,NGCC,2029,0.00049899997
SIMPLICITY,NGCC,2030,0.00020080321
SIMPLICITY,NGCC,2031,0.00018072289000000002
SIMPLICITY,NGCC,2032,0.00016064256999999998
SIMPLICITY,NGCC,2033,0.00014056225
SIMPLICITY,NGCC,2034,0.00012048193000000001
SIMPLICITY,NGCC,2035,0.00010040161
SIMPLICITY,NGCC,2036,9.036144599999999e-05
SIMPLICITY,NGCC,2037,8.032128499999999e-05
SIMPLICITY,NGCC,2038,7.0281124e-05
SIMPLICITY,NGCC,2039,6.0240964e-05
SIMPLICITY,NGCC,2040,5.0200803e-05
SIMPLICITY,SOLPV,2018,0.0002159946
SIMPLICITY,SOLPV,2019,0.0002159946
SIMPLICITY,SOLPV,2020,0.00035999101
SIMPLICITY,SOLPV,2021,0.00050398741
SIMPLICITY,SOLPV,2022,0.00053998651
SIMPLICITY,SOLPV,2023,0.0006479838099999999
SIMPLICITY,SOLPV,2024,0.0006479838099999999
SIMPLICITY,SOLPV,2025,0.00092157698
SIMPLICITY,SOLPV,2026,0.00092157698
SIMPLICITY,SOLPV,2027,0.00092157698
SIMPLICITY,SOLPV,2028,0.00092157698
SIMPLICITY,SOLPV,2029,0.00092157698
SIMPLICITY,SOLPV,2030,2.1775
SIMPLICITY,SOLPV,2031,2.26125
