REGION,TECHNOLOGY,YEAR,VALUE
SIMPLICITY,NGCC,2035,35.262278
SIMPLICITY,SOLPV,2030,120.186
SIMPLICITY,SOLPV,2031,25.452220999999998
SIMPLICITY,SOLPV,2032,22.513714
SIMPLICITY,SOLPV,2033,5.5211803
SIMPLICITY,SOLPV,2034,5.8945590999999995
SIMPLICITY,SOLPV,2035,5.346807599999999
SIMPLICITY,SOLPV,2036,6.7102994
SIMPLICITY,SOLPV,2037,8.1588405
SIMPLICITY,SOLPV,2038,8.2475374
SIMPLICITY,SOLPV,2039,8.800101699999999
SIMPLICITY,SOLPV,2040,11.482242
SIMPLICITY,TD,2014,1.7551862e-06
SIMPLICITY,TD,2016,4.0588983999999995e-08
SIMPLICITY,TD,2017,5.745157e-08
SIMPLICITY,TD,2018,3.3047744e-07
SIMPLICITY,TD,2019,1.6023682000000002e-07
SIMPLICITY,TD,2020,1.6018016e-07
SIMPLICITY,TD,2021,2.6562563e-07
SIMPLICITY,TD,2022,1.3471665e-07
SIMPLICITY,TD,2023,2.3776622e-07
SIMPLICITY,TD,2024,1.1192205e-07
SIMPLICITY,TD,2025,9.6122632e-08
SIMPLICITY,TD,2026,1.4916646e-07
SIMPLICITY,TD,2027,1.5560189999999997e-07
SIMPLICITY,TD,2028,1.1295027000000002e-07
SIMPLICITY,TD,2029,1.0112081e-07
SIMPLICITY,TD,2030,9.6623621e-08
SIMPLICITY,TD,2031,1.3408959e-07
