REGION,TECHNOLOGY,FUEL,YEAR,VALUE
SIMPLICITY,Backstop1,FEL1,2030,1.4283695
SIMPLICITY,Backstop1,FEL1,2031,1.7021325
SIMPLICITY,Backstop1,FEL1,2032,1.9768956000000002
SIMPLICITY,Backstop1,FEL1,2033,2.2536586
SIMPLICITY,Backstop1,FEL1,2034,2.5314217
SIMPLICITY,Backstop1,FEL1,2035,2.8091847000000003
SIMPLICITY,Backstop1,FEL1,2036,2.9965662999999996
SIMPLICITY,Backstop1,FEL1,2037,3.1889477999999998
SIMPLICITY,Backstop1,FEL1,2038,3.3863293
SIMPLICITY,Backstop1,FEL1,2039,3.5887108
SIMPLICITY,Backstop1,FEL1,2040,3.7960924
SIMPLICITY,Backstop2,FEL2,2030,0.429
SIMPLICITY,Backstop2,FEL2,2031,0.4455
SIMPLICITY,Backstop2,FEL2,2032,0.495
SIMPLICITY,Backstop2,FEL2,2033,0.5115
SIMPLICITY,Backstop2,FEL2,2034,0.528
SIMPLICITY,Backstop2,FEL2,2035,0.5412
SIMPLICITY,Backstop2,FEL2,2036,0.561
SIMPLICITY,Backstop2,FEL2,2037,0.5874
SIMPLICITY,Backstop2,FEL2,2038,0.6105
SIMPLICITY,Backstop2,FEL2,2039,0.6336
SIMPLICITY,Backstop2,FEL2,2040,0.6765
SIMPLICITY,GasExtraction,GAS,2014,4.6424084
SIMPLICITY,GasExtraction,GAS,2015,4.6654737
SIMPLICITY,GasExtraction,GAS,2016,4.768218900000001
SIMPLICITY,GasExtraction,GAS,2017,4.9108042
SIMPLICITY,GasExtraction,GAS,2018,5.3261652999999995
SIMPLICITY,GasExtraction,GAS,2019,5.4929512
SIMPLICITY,GasExtraction,GAS,2020,5.6254706
SIMPLICITY,GasExtraction,GAS,2021,5.7453511
SIMPLICITY,GasExtraction,GAS,2022,5.8005681
SIMPLICITY,GasExtraction,GAS,2023,5.9002733
SIMPLICITY,GasExtraction,GAS,2024,5.9253987
SIMPLICITY,GasExtraction,GAS,2025,5.936818799999999
SIMPLICITY,GasExtraction,GAS,2026,5.954731400000001
SIMPLICITY,GasExtraction,GAS,2027,5.973168299999999
SIMPLICITY,GasExtraction,GAS,2028,5.9860562
SIMPLICITY,GasExtraction,GAS,2029,5.9972487
SIMPLICITY,GasExtraction,GAS,2030,4.0
SIMPLICITY,GasExtraction,GAS,2031,3.6
SIMPLICITY,GasExtraction,GAS,2032,3.2
SIMPLICITY,GasExtraction,GAS,2033,2.8
SIMPLICITY,GasExtraction,GAS,2034,2.4
SIMPLICITY,GasExtraction,GAS,2035,2.0
SIMPLICITY,GasExtraction,GAS,2036,1.8
SIMPLICITY,GasExtraction,GAS,2037,1.6
SIMPLICITY,GasExtraction,GAS,2038,1.4
SIMPLICITY,GasExtraction,GAS,2039,1.2
SIMPLICITY,GasExtraction,GAS,2040,1.0
SIMPLICITY,GasImport,GAS,2018,0.48934422
SIMPLICITY,GasImport,GAS,2019,0.73952306
SIMPLICITY,GasImport,GAS,2020,1.0175379999999998
SIMPLICITY,GasImport,GAS,2021,1.5804743
SIMPLICITY,GasImport,GAS,2022,1.8500794999999999
SIMPLICITY,GasImport,GAS,2023,2.3369248
SIMPLICITY,GasImport,GAS,2024,2.577945
SIMPLICITY,GasImport,GAS,2025,2.7946614
SIMPLICITY,GasImport,GAS,2026,3.1350019000000002
SIMPLICITY,GasImport,GAS,2027,3.4853023999999997
SIMPLICITY,GasImport,GAS,2028,3.7301726000000004
SIMPLICITY,GasImport,GAS,2029,3.9428307
SIMPLICITY,GridExp,FEL2,2018,0.2999136
SIMPLICITY,GridExp,FEL2,2019,0.3999136
SIMPLICITY,GridExp,FEL2,2020,0.499856
SIMPLICITY,GridExp,FEL2,2021,0.69979841
SIMPLICITY,GridExp,FEL2,2022,0.74978401
SIMPLICITY,GridExp,FEL2,2023,0.89974081
SIMPLICITY,GridExp,FEL2,2024,0.94974081
SIMPLICITY,GridExp,FEL2,2025,0.99963137
SIMPLICITY,GridExp,FEL2,2026,1.0996313999999998
SIMPLICITY,GridExp,FEL2,2027,1.1996314
SIMPLICITY,GridExp,FEL2,2028,1.2496314
SIMPLICITY,GridExp,FEL2,2029,1.2796313999999998
SIMPLICITY,NGCC,SEC_EL,2014,2.3305263
SIMPLICITY,NGCC,SEC_EL,2015,2.3421053
SIMPLICITY,NGCC,SEC_EL,2016,2.3936842
SIMPLICITY,NGCC,SEC_EL,2017,2.4652632000000003
SIMPLICITY,NGCC,SEC_EL,2018,2.9194325
SIMPLICITY,NGCC,SEC_EL,2019,3.1287521000000003
SIMPLICITY,NGCC,SEC_EL,2020,3.3348437000000004
SIMPLICITY,NGCC,SEC_EL,2021,3.6776232
SIMPLICITY,NGCC,SEC_EL,2022,3.8406865
SIMPLICITY,NGCC,SEC_EL,2023,4.1351396000000005
SIMPLICITY,NGCC,SEC_EL,2024,4.2687468
SIMPLICITY,NGCC,SEC_EL,2025,4.3832732000000005
SIMPLICITY,NGCC,SEC_EL,2026,4.5631191
SIMPLICITY,NGCC,SEC_EL,2027,4.7482282
SIMPLICITY,NGCC,SEC_EL,2028,4.877624900000001
SIMPLICITY,NGCC,SEC_EL,2029,4.9899997
SIMPLICITY,NGCC,SEC_EL,2030,2.0080321
SIMPLICITY,NGCC,SEC_EL,2031,1.8072289000000001
SIMPLICITY,NGCC,SEC_EL,2032,1.6064257
