REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
SIMPLICITY,ID,GasExtraction,1,GAS,2014,3.3418657
SIMPLICITY,ID,GasExtraction,1,GAS,2015,3.3584693999999997
SIMPLICITY,ID,GasExtraction,1,GAS,2016,3.4324312000000003
SIMPLICITY,ID,GasExtraction,1,GAS,2017,3.535072
SIMPLICITY,ID,GasExtraction,1,GAS,2018,4.1146910000000005
SIMPLICITY,ID,GasExtraction,1,GAS,2019,4.3909157
SIMPLICITY,ID,GasExtraction,1,GAS,2020,4.6626121
SIMPLICITY,ID,GasExtraction,1,GAS,2021,5.1063828
SIMPLICITY,ID,GasExtraction,1,GAS,2022,5.3282682
SIMPLICITY,ID,GasExtraction,1,GAS,2023,5.7146809
SIMPLICITY,ID,GasExtraction,1,GAS,2024,5.894302400000001
SIMPLICITY,ID,GasExtraction,1,GAS,2025,6.0
SIMPLICITY,ID,GasExtraction,1,GAS,2026,6.0
SIMPLICITY,ID,GasExtraction,1,GAS,2027,6.0
SIMPLICITY,ID,GasExtraction,1,GAS,2028,6.0
SIMPLICITY,ID,GasExtraction,1,GAS,2029,6.0
SIMPLICITY,ID,GasImport,1,GAS,2025,0.04675427
SIMPLICITY,ID,GasImport,1,GAS,2026,0.28071506
SIMPLICITY,ID,GasImport,1,GAS,2027,0.52222297
SIMPLICITY,ID,GasImport,1,GAS,2028,0.69580678
SIMPLICITY,ID,GasImport,1,GAS,2029,0.84976807
SIMPLICITY,ID,NGCC,1,SEC_EL,2014,1.6776433999999998
SIMPLICITY,ID,NGCC,1,SEC_EL,2015,1.6859786
SIMPLICITY,ID,NGCC,1,SEC_EL,2016,1.723108
SIMPLICITY,ID,NGCC,1,SEC_EL,2017,1.7746345000000001
SIMPLICITY,ID,NGCC,1,SEC_EL,2018,2.0656079
SIMPLICITY,ID,NGCC,1,SEC_EL,2019,2.2042749
SIMPLICITY,ID,NGCC,1,SEC_EL,2020,2.3406687
SIMPLICITY,ID,NGCC,1,SEC_EL,2021,2.5634452000000003
