REGION,TECHNOLOGY,YEAR,VALUE
SIMPLICITY,Backstop,2032,0.124885583526
SIMPLICITY,Backstop,2033,0.36052864353
SIMPLICITY,Backstop,2034,0.5965016772
SIMPLICITY,Backstop,2035,0.8291747408999999
SIMPLICITY,Backstop,2036,0.9747162519599999
SIMPLICITY,Backstop,2037,1.1285078045999999
SIMPLICITY,Backstop,2038,1.28064932275
SIMPLICITY,Backstop,2039,1.4344408480000002
SIMPLICITY,Backstop,2040,1.6096823727299996
SIMPLICITY,GasExtraction,2014,4.64240841572
SIMPLICITY,GasExtraction,2015,4.66547367751
SIMPLICITY,GasExtraction,2016,4.76821895352
SIMPLICITY,GasExtraction,2017,4.91080419914
SIMPLICITY,GasExtraction,2018,5.28639661799
SIMPLICITY,GasExtraction,2019,5.439885481639999
SIMPLICITY,GasExtraction,2020,5.572486492829999
SIMPLICITY,GasExtraction,2021,5.705914858649999
SIMPLICITY,GasExtraction,2022,5.758314937650001
SIMPLICITY,GasExtraction,2023,5.84956951961
SIMPLICITY,GasExtraction,2024,5.89198863118
SIMPLICITY,GasExtraction,2025,5.920197475449999
SIMPLICITY,GasExtraction,2026,5.93644799764
SIMPLICITY,GasExtraction,2027,5.953222735060001
SIMPLICITY,GasExtraction,2028,5.9652795770600004
SIMPLICITY,GasExtraction,2029,5.975973472789999
SIMPLICITY,GasExtraction,2030,2.77813118676
SIMPLICITY,GasExtraction,2031,2.299852798386
SIMPLICITY,GasExtraction,2032,1.95907835351
SIMPLICITY,GasExtraction,2033,1.84984738005
SIMPLICITY,GasExtraction,2034,1.74054830051
SIMPLICITY,GasExtraction,2035,1.60393750003
SIMPLICITY,GasExtraction,2036,1.492828081582
SIMPLICITY,GasExtraction,2037,1.379886522117
SIMPLICITY,GasExtraction,2038,1.30207876684
SIMPLICITY,GasExtraction,2039,1.19999999191
SIMPLICITY,GasExtraction,2040,0.9999999908399998
SIMPLICITY,GasImport,2018,0.42959494641499996
SIMPLICITY,GasImport,2019,0.65982822681
SIMPLICITY,GasImport,2020,0.904658793191
