REGION,TECHNOLOGY,YEAR,VALUE
SIMPLICITY,NGCC,2014,0.55
SIMPLICITY,NGCC,2015,0.55
SIMPLICITY,NGCC,2016,0.55
SIMPLICITY,NGCC,2017,0.55
SIMPLICITY,NGCC,2018,0.55
SIMPLICITY,NGCC,2019,0.55
SIMPLICITY,NGCC,2020,0.55
SIMPLICITY,NGCC,2021,0.55
SIMPLICITY,NGCC,2022,0.55
SIMPLICITY,NGCC,2023,0.55
SIMPLICITY,NGCC,2024,0.55
SIMPLICITY,NGCC,2025,0.55
SIMPLICITY,NGCC,2026,0.55
SIMPLICITY,NGCC,2027,0.55
SIMPLICITY,NGCC,2028,0.55
SIMPLICITY,NGCC,2029,0.55
SIMPLICITY,NGCC,2030,0.55
SIMPLICITY,NGCC,2031,0.55
SIMPLICITY,NGCC,2032,0.55
SIMPLICITY,NGCC,2033,0.55
SIMPLICITY,NGCC,2034,0.55
SIMPLICITY,NGCC,2035,0.0
SIMPLICITY,NGCC,2036,0.0
SIMPLICITY,NGCC,2037,0.0
SIMPLICITY,NGCC,2038,0.0
SIMPLICITY,NGCC,2039,0.0
SIMPLICITY,NGCC,2040,0.0
