REGION,TECHNOLOGY,YEAR,VALUE
SIMPLICITY,GasExtraction,2014,34.8180631179
SIMPLICITY,GasExtraction,2015,34.991052581325
SIMPLICITY,GasExtraction,2016,35.7616421514
SIMPLICITY,GasExtraction,2017,36.83103149355
SIMPLICITY,GasExtraction,2018,39.647974634925
SIMPLICITY,GasExtraction,2019,40.7991411123
SIMPLICITY,GasExtraction,2020,44.57989194263999
SIMPLICITY,GasExtraction,2021,45.64731886919999
SIMPLICITY,GasExtraction,2022,46.066519501200005
SIMPLICITY,GasExtraction,2023,46.79655615688
SIMPLICITY,GasExtraction,2024,47.13590904944
SIMPLICITY,GasExtraction,2025,50.321678541325
SIMPLICITY,GasExtraction,2026,50.459807979939995
SIMPLICITY,GasExtraction,2027,50.60239324801
SIMPLICITY,GasExtraction,2028,50.212210400269996
SIMPLICITY,GasExtraction,2029,32.33317691117
SIMPLICITY,GasExtraction,2030,25.381152602819995
SIMPLICITY,GasExtraction,2031,26.10930038067
SIMPLICITY,GasExtraction,2032,27.39040233777
SIMPLICITY,GasExtraction,2033,25.20000000063
SIMPLICITY,GasExtraction,2034,21.600000150165
SIMPLICITY,GasExtraction,2035,11.40081048357
SIMPLICITY,GasExtraction,2036,11.400628838915
SIMPLICITY,GasExtraction,2037,11.400417263275
SIMPLICITY,GasExtraction,2038,11.400211705505
SIMPLICITY,GasExtraction,2039,11.400000129865
SIMPLICITY,GasExtraction,2040,10.0000000758
SIMPLICITY,GasImport,2018,3.6515570445275003
SIMPLICITY,GasImport,2019,5.608539927884999
SIMPLICITY,GasImport,2020,7.689599742123501
SIMPLICITY,GasImport,2021,12.489317745885
SIMPLICITY,GasImport,2022,14.791839314669998
SIMPLICITY,GasImport,2023,18.80167232862
SIMPLICITY,GasImport,2024,20.665618092989998
SIMPLICITY,GasImport,2025,22.317768103490998
SIMPLICITY,GasImport,2026,26.490863906538998
SIMPLICITY,GasImport,2027,29.5187038648055
SIMPLICITY,GasImport,2028,25.635426306215
SIMPLICITY,WIND,2028,1.4565834603
SIMPLICITY,WIND,2029,11.956441674
SIMPLICITY,WIND,2030,14.4460186151223
SIMPLICITY,WIND,2031,14.860453786608
SIMPLICITY,WIND,2032,15.589610008256697
SIMPLICITY,WIND,2033,16.6960594774788
SIMPLICITY,WIND,2034,18.134766814978796
SIMPLICITY,WIND,2035,21.2040995948166
SIMPLICITY,WIND,2036,21.871339654380296
SIMPLICITY,WIND,2037,22.64832307095
SIMPLICITY,WIND,2038,23.403357857818502
SIMPLICITY,WIND,2039,24.180341274388198
SIMPLICITY,WIND,2040,25.661268582073497
