REGION,TECHNOLOGY,YEAR,VALUE
SIMPLICITY,GasExtraction,2014,5.571447200000001
SIMPLICITY,GasExtraction,2015,5.599128299999999
SIMPLICITY,GasExtraction,2016,5.722435
SIMPLICITY,GasExtraction,2017,5.8935544
SIMPLICITY,GasExtraction,2018,6.0
SIMPLICITY,GasExtraction,2019,6.0
SIMPLICITY,GasExtraction,2020,6.0
SIMPLICITY,GasExtraction,2021,6.0
SIMPLICITY,GasExtraction,2022,6.0
SIMPLICITY,GasExtraction,2023,6.0
SIMPLICITY,GasExtraction,2024,6.0
SIMPLICITY,GasExtraction,2025,6.0
SIMPLICITY,GasExtraction,2026,6.0
SIMPLICITY,GasExtraction,2027,6.0
SIMPLICITY,GasExtraction,2028,6.0
SIMPLICITY,GasExtraction,2029,5.9622719
SIMPLICITY,GasExtraction,2030,4.876454799999999
SIMPLICITY,GasExtraction,2031,5.0183735
SIMPLICITY,GasExtraction,2032,5.2779681
SIMPLICITY,GasExtraction,2033,4.7882289
SIMPLICITY,GasExtraction,2034,4.283295
SIMPLICITY,GasExtraction,2035,2.4002692000000003
SIMPLICITY,GasExtraction,2036,2.4002692000000003
SIMPLICITY,GasExtraction,2037,2.4002692000000003
SIMPLICITY,GasExtraction,2038,2.4002692000000003
SIMPLICITY,GasExtraction,2039,2.4002692000000003
SIMPLICITY,GasExtraction,2040,2.0003936
SIMPLICITY,GasImport,2018,0.97929894
SIMPLICITY,GasImport,2019,1.4797067
SIMPLICITY,GasImport,2020,1.9723901000000001
SIMPLICITY,GasImport,2021,2.7918453
SIMPLICITY,GasImport,2022,3.1816691
SIMPLICITY,GasImport,2023,3.885595
SIMPLICITY,GasImport,2024,4.2050015
SIMPLICITY,GasImport,2025,4.4787795
SIMPLICITY,GasImport,2026,4.9087263
SIMPLICITY,GasImport,2027,5.3512553
SIMPLICITY,GasImport,2028,4.6670087
SIMPLICITY,GridExp,2018,0.013918588
SIMPLICITY,GridExp,2019,0.0046409215
SIMPLICITY,GridExp,2020,0.0046381375
SIMPLICITY,GridExp,2021,0.0092790589
SIMPLICITY,GridExp,2022,0.0023197647
SIMPLICITY,GridExp,2023,0.0069592942000000005
SIMPLICITY,GridExp,2024,0.0023204607
SIMPLICITY,GridExp,2025,0.0023190687
SIMPLICITY,GridExp,2026,0.0046395295000000005
SIMPLICITY,GridExp,2027,0.0046395295000000005
SIMPLICITY,GridExp,2028,0.0023197647
SIMPLICITY,GridExp,2029,0.0013918588
SIMPLICITY,GridExp,2030,0.00092790589
SIMPLICITY,GridExp,2031,0.0023197647
SIMPLICITY,GridExp,2032,0.0069592942000000005
SIMPLICITY,GridExp,2033,0.0023197647
SIMPLICITY,GridExp,2034,0.0023197647
SIMPLICITY,GridExp,2035,0.0018558118
SIMPLICITY,GridExp,2036,0.0027837177
SIMPLICITY,GridExp,2037,0.0037116236
SIMPLICITY,GridExp,2038,0.0032476706
SIMPLICITY,GridExp,2039,0.0032476706
SIMPLICITY,GridExp,2040,0.006031388299999999
SIMPLICITY,NGCC,2035,0.038208855
SIMPLICITY,SOLPV,2018,1.3697261e-05
SIMPLICITY,SOLPV,2020,9.1315071e-06
SIMPLICITY,SOLPV,2021,9.1315071e-06
SIMPLICITY,SOLPV,2022,2.2828768e-06
SIMPLICITY,SOLPV,2023,6.8486303e-06
SIMPLICITY,SOLPV,2025,1.7349864e-05
SIMPLICITY,SOLPV,2030,1.4610410999999998e-05
SIMPLICITY,SOLPV,2035,0.00015012486000000002
SIMPLICITY,WIND,2028,0.063265961
SIMPLICITY,WIND,2029,0.31667668
SIMPLICITY,WIND,2030,0.08533179099999999
SIMPLICITY,WIND,2031,0.013544691000000001
SIMPLICITY,WIND,2032,0.024775672999999998
SIMPLICITY,WIND,2033,0.054245752
SIMPLICITY,WIND,2034,0.055373498
SIMPLICITY,WIND,2035,0.14108306
SIMPLICITY,WIND,2036,0.025879732000000003
SIMPLICITY,WIND,2037,0.030393639
SIMPLICITY,WIND,2038,0.029355144
SIMPLICITY,WIND,2039,0.030139608999999998
SIMPLICITY,WIND,2040,0.067551918
SIMPLICITY,TD,2014,0.088689475
SIMPLICITY,TD,2015,0.00044064328
SIMPLICITY,TD,2016,0.0019628655
SIMPLICITY,TD,2017,0.0027239765999999997
SIMPLICITY,TD,2018,0.0033649123
SIMPLICITY,TD,2019,0.0033248538
SIMPLICITY,TD,2020,0.0032046784000000004
SIMPLICITY,TD,2021,0.0037654971
SIMPLICITY,TD,2022,0.0038856726
SIMPLICITY,TD,2023,0.0042461989
SIMPLICITY,TD,2024,0.0027640351000000002
SIMPLICITY,TD,2025,0.0020429825
SIMPLICITY,TD,2026,0.0022032164
SIMPLICITY,TD,2027,0.0024035088000000002
SIMPLICITY,TD,2028,0.0026038012
SIMPLICITY,TD,2029,0.0028842106
SIMPLICITY,TD,2030,0.0031245614000000002
SIMPLICITY,TD,2031,0.0033248538
SIMPLICITY,TD,2032,0.0033649123
SIMPLICITY,TD,2033,0.0034450292999999997
SIMPLICITY,TD,2034,0.0034850878000000003
SIMPLICITY,TD,2035,0.0034850878000000003
SIMPLICITY,TD,2036,0.0036853802000000003
SIMPLICITY,TD,2037,0.0038856726
SIMPLICITY,TD,2038,0.004085965
SIMPLICITY,TD,2039,0.0042862574
SIMPLICITY,TD,2040,0.0044865498
