REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
SIMPLICITY,ID,GasExtraction,GAS,2014,0.55708901219
SIMPLICITY,ID,GasExtraction,GAS,2015,0.5598568489799999
SIMPLICITY,ID,GasExtraction,GAS,2016,0.57218628104
SIMPLICITY,ID,GasExtraction,GAS,2017,0.5892965024
SIMPLICITY,ID,GasExtraction,GAS,2018,0.6978338555299999
SIMPLICITY,ID,GasExtraction,GAS,2019,0.7478696273500001
SIMPLICITY,ID,GasExtraction,GAS,2020,0.79711554123
SIMPLICITY,ID,GasExtraction,GAS,2021,0.8790353719199998
SIMPLICITY,ID,GasExtraction,GAS,2022,0.91800948185
SIMPLICITY,ID,GasExtraction,GAS,2023,0.9883819035199999
SIMPLICITY,ID,GasExtraction,GAS,2024,1.0002
SIMPLICITY,ID,GasExtraction,GAS,2025,1.0002
SIMPLICITY,ID,GasExtraction,GAS,2026,1.0002
SIMPLICITY,ID,GasExtraction,GAS,2027,1.0002
SIMPLICITY,ID,GasExtraction,GAS,2028,1.0002
SIMPLICITY,ID,GasExtraction,GAS,2029,0.19799889186
SIMPLICITY,ID,GasImport,GAS,2024,0.020119363068
SIMPLICITY,ID,GasImport,GAS,2025,0.047461175337
SIMPLICITY,ID,GasImport,GAS,2026,0.09045155336
SIMPLICITY,ID,GasImport,GAS,2027,0.13470003628699997
SIMPLICITY,ID,GridExp,FEL2,2018,0.03597839800741999
SIMPLICITY,ID,GridExp,FEL2,2019,0.04797839792749999
SIMPLICITY,ID,GridExp,FEL2,2020,0.05996399576773998
SIMPLICITY,ID,GridExp,FEL2,2021,0.083949594895
SIMPLICITY,ID,GridExp,FEL2,2022,0.08994599433507999
SIMPLICITY,ID,GridExp,FEL2,2023,0.10793519402226
SIMPLICITY,ID,GridExp,FEL2,2024,0.11393519398229998
SIMPLICITY,ID,GridExp,FEL2,2025,0.11990783053741999
SIMPLICITY,ID,GridExp,FEL2,2026,0.13190783045749999
SIMPLICITY,ID,GridExp,FEL2,2027,0.1439078344784
SIMPLICITY,ID,GridExp,FEL2,2028,0.14990782623679996
SIMPLICITY,ID,GridExp,FEL2,2029,0.15350782675959998
SIMPLICITY,ID,GridExp,FEL2,2030,0.1558847850562
SIMPLICITY,ID,GridExp,FEL2,2031,0.16188479048399998
SIMPLICITY,ID,GridExp,FEL2,2032,0.17988479309799998
SIMPLICITY,ID,GridExp,FEL2,2033,0.1858847848564
SIMPLICITY,ID,GridExp,FEL2,2034,0.19188479028419997
SIMPLICITY,ID,GridExp,FEL2,2035,0.1964480187474
SIMPLICITY,ID,GridExp,FEL2,2036,0.20364801979299996
SIMPLICITY,ID,GridExp,FEL2,2037,0.21324802574359994
SIMPLICITY,ID,GridExp,FEL2,2038,0.22166962005899998
SIMPLICITY,ID,GridExp,FEL2,2039,0.23006963039179995
SIMPLICITY,ID,GridExp,FEL2,2040,0.24568402197899994
SIMPLICITY,ID,NGCC,SEC_EL,2014,0.2796631547799999
SIMPLICITY,ID,NGCC,SEC_EL,2015,0.28105263262
SIMPLICITY,ID,NGCC,SEC_EL,2016,0.28724210359999997
SIMPLICITY,ID,NGCC,SEC_EL,2017,0.29583157115
SIMPLICITY,ID,NGCC,SEC_EL,2018,0.35031819963
SIMPLICITY,ID,NGCC,SEC_EL,2019,0.37543655563
SIMPLICITY,ID,NGCC,SEC_EL,2020,0.40015839900999994
SIMPLICITY,ID,NGCC,SEC_EL,2021,0.44128282225
SIMPLICITY,ID,NGCC,SEC_EL,2022,0.46084813452999995
SIMPLICITY,ID,NGCC,SEC_EL,2023,0.49617564861999996
SIMPLICITY,ID,NGCC,SEC_EL,2024,0.5122085212199999
SIMPLICITY,ID,NGCC,SEC_EL,2025,0.5259343325
SIMPLICITY,ID,NGCC,SEC_EL,2026,0.54751584794
SIMPLICITY,ID,NGCC,SEC_EL,2027,0.5697289396699999
SIMPLICITY,ID,NGCC,SEC_EL,2028,0.50210843494
SIMPLICITY,ID,NGCC,SEC_EL,2029,0.09939703709899998
SIMPLICITY,ID,SOLPV,FEL2,2018,2.1602159568e-05
SIMPLICITY,ID,SOLPV,FEL2,2019,2.1602159568e-05
SIMPLICITY,ID,SOLPV,FEL2,2020,3.6003600947e-05
SIMPLICITY,ID,SOLPV,FEL2,2021,5.0405040659e-05
SIMPLICITY,ID,SOLPV,FEL2,2022,5.4005400587e-05
SIMPLICITY,ID,SOLPV,FEL2,2023,6.480648037099999e-05
SIMPLICITY,ID,SOLPV,FEL2,2024,6.480648037099999e-05
SIMPLICITY,ID,SOLPV,FEL2,2025,9.2169216824e-05
SIMPLICITY,ID,SOLPV,FEL2,2026,9.2169216824e-05
