REGION,TECHNOLOGY,YEAR,VALUE
SIMPLICITY,NGCC,2035,37.746617
SIMPLICITY,WIND,2028,38.728263
SIMPLICITY,WIND,2029,289.91863
SIMPLICITY,WIND,2030,77.99199899999999
SIMPLICITY,WIND,2031,12.699584
SIMPLICITY,WIND,2032,23.208718
SIMPLICITY,WIND,2033,43.524749
SIMPLICITY,WIND,2034,59.74601800000001
SIMPLICITY,WIND,2035,155.32776
SIMPLICITY,WIND,2036,28.319547999999998
SIMPLICITY,WIND,2037,33.772397
SIMPLICITY,WIND,2038,33.513231
SIMPLICITY,WIND,2039,35.1776
SIMPLICITY,WIND,2040,81.073468
SIMPLICITY,TD,2014,6.5529109000000006e-06
SIMPLICITY,TD,2015,3.3305782e-08
SIMPLICITY,TD,2016,1.5153720000000003e-07
SIMPLICITY,TD,2017,2.1449293e-07
SIMPLICITY,TD,2018,1.2338231e-06
SIMPLICITY,TD,2019,5.9823715e-07
SIMPLICITY,TD,2020,5.9802562e-07
SIMPLICITY,TD,2021,9.9170171e-07
SIMPLICITY,TD,2022,5.0295873e-07
SIMPLICITY,TD,2023,8.876897999999999e-07
SIMPLICITY,TD,2024,4.178561e-07
SIMPLICITY,TD,2025,3.5886965000000004e-07
SIMPLICITY,TD,2026,5.5690645e-07
SIMPLICITY,TD,2027,5.809329e-07
SIMPLICITY,TD,2028,4.2169491e-07
SIMPLICITY,TD,2029,3.7753013e-07
SIMPLICITY,TD,2030,3.6593228000000006e-07
SIMPLICITY,TD,2031,5.0076782e-07
SIMPLICITY,TD,2032,8.879963199999999e-07
SIMPLICITY,TD,2033,5.199452700000001e-07
SIMPLICITY,TD,2034,5.2745708e-07
SIMPLICITY,TD,2035,4.922131699999999e-07
SIMPLICITY,TD,2036,5.928175899999999e-07
SIMPLICITY,TD,2037,6.9443725e-07
SIMPLICITY,TD,2038,6.786303499999999e-07
SIMPLICITY,TD,2039,7.020919999999999e-07
SIMPLICITY,TD,2040,9.6478457e-07
