REGION,TECHNOLOGY,YEAR,VALUE
SIMPLICITY,GasExtraction,2014,4.64240841572
SIMPLICITY,GasExtraction,2015,4.66547367751
SIMPLICITY,GasExtraction,2016,4.76821895352
SIMPLICITY,GasExtraction,2017,4.91080419914
SIMPLICITY,GasExtraction,2018,5.28639661799
SIMPLICITY,GasExtraction,2019,5.439885481639999
SIMPLICITY,GasExtraction,2020,5.572486492829999
SIMPLICITY,GasExtraction,2021,5.705914858649999
SIMPLICITY,GasExtraction,2022,5.758314937650001
SIMPLICITY,GasExtraction,2023,5.84956951961
SIMPLICITY,GasExtraction,2024,5.89198863118
SIMPLICITY,GasExtraction,2025,5.920197475449999
SIMPLICITY,GasExtraction,2026,5.93644799764
SIMPLICITY,GasExtraction,2027,5.953222735060001
SIMPLICITY,GasExtraction,2028,5.907318870619999
SIMPLICITY,GasExtraction,2029,3.8039031660199996
SIMPLICITY,GasExtraction,2030,2.8201280669799997
SIMPLICITY,GasExtraction,2031,2.90103337563
SIMPLICITY,GasExtraction,2032,3.0433780375299997
SIMPLICITY,GasExtraction,2033,2.80000000007
SIMPLICITY,GasExtraction,2034,2.400000016685
SIMPLICITY,GasExtraction,2035,1.20008531406
SIMPLICITY,GasExtraction,2036,1.20006619357
SIMPLICITY,GasExtraction,2037,1.20004392245
SIMPLICITY,GasExtraction,2038,1.2000222847900002
SIMPLICITY,GasExtraction,2039,1.20000001367
SIMPLICITY,GasExtraction,2040,1.00000000758
SIMPLICITY,GasImport,2018,0.42959494641499996
SIMPLICITY,GasImport,2019,0.65982822681
SIMPLICITY,GasImport,2020,0.904658793191
SIMPLICITY,GasImport,2021,1.3877019717649999
SIMPLICITY,GasImport,2022,1.64353770163
SIMPLICITY,GasImport,2023,2.08907470318
SIMPLICITY,GasImport,2024,2.29617978811
SIMPLICITY,GasImport,2025,2.479752011499
SIMPLICITY,GasImport,2026,2.7885119901619997
SIMPLICITY,GasImport,2027,3.1072319857690003
SIMPLICITY,GasImport,2028,2.69846592697
SIMPLICITY,NGCC,2014,2.3305263260999998
SIMPLICITY,NGCC,2015,2.3421052570799996
SIMPLICITY,NGCC,2016,2.3936841996599996
SIMPLICITY,NGCC,2017,2.46526316469
SIMPLICITY,NGCC,2018,2.8694736888199994
SIMPLICITY,NGCC,2019,3.0621052740199994
SIMPLICITY,NGCC,2020,3.2515789613699995
SIMPLICITY,NGCC,2021,3.5610526251599994
SIMPLICITY,NGCC,2022,3.7157894778899996
SIMPLICITY,NGCC,2023,3.9852631550799997
SIMPLICITY,NGCC,2024,4.11052629181
SIMPLICITY,NGCC,2025,4.21684209981
SIMPLICITY,NGCC,2026,4.38000001901
SIMPLICITY,NGCC,2027,4.54842104851
SIMPLICITY,NGCC,2028,4.3201730853399996
SIMPLICITY,NGCC,2029,1.909589923724
SIMPLICITY,NGCC,2030,1.4157269163519999
SIMPLICITY,NGCC,2031,1.4563420587039997
SIMPLICITY,NGCC,2032,1.5278002284830001
SIMPLICITY,NGCC,2033,1.405622474427
SIMPLICITY,NGCC,2034,1.2048192798939998
SIMPLICITY,NGCC,2035,0.60245246509
SIMPLICITY,NGCC,2036,0.60244286317
SIMPLICITY,NGCC,2037,0.60243169427
SIMPLICITY,NGCC,2038,0.60242082543
SIMPLICITY,NGCC,2039,0.60240963986
SIMPLICITY,NGCC,2040,0.50200802014
SIMPLICITY,TD,2014,2.3305263260999998
SIMPLICITY,TD,2015,2.3421052570799996
SIMPLICITY,TD,2016,2.3936841996599996
SIMPLICITY,TD,2017,2.46526316469
SIMPLICITY,TD,2018,2.8694736888199994
SIMPLICITY,TD,2019,3.0621052740199994
SIMPLICITY,TD,2020,3.2515789613699995
SIMPLICITY,TD,2021,3.5610526251599994
SIMPLICITY,TD,2022,3.7157894778899996
SIMPLICITY,TD,2023,3.9852631550799997
SIMPLICITY,TD,2024,4.11052629181
SIMPLICITY,TD,2025,4.21684209981
SIMPLICITY,TD,2026,4.38000001901
SIMPLICITY,TD,2027,4.54842104851
SIMPLICITY,TD,2028,4.66947368534
SIMPLICITY,TD,2029,4.77684210372
SIMPLICITY,TD,2030,4.88000001387
SIMPLICITY,TD,2031,5.0200000211
SIMPLICITY,TD,2032,5.26631581133
SIMPLICITY,TD,2033,5.409473666399999
SIMPLICITY,TD,2034,5.5536842152
SIMPLICITY,TD,2035,5.687368435069999
SIMPLICITY,TD,2036,5.8473684397599985
SIMPLICITY,TD,2037,6.0336842292699995
SIMPLICITY,TD,2038,6.214736858479999
SIMPLICITY,TD,2039,6.401052631319999
SIMPLICITY,TD,2040,6.65578945469
SIMPLICITY,WIND,2028,0.34930059
SIMPLICITY,WIND,2029,2.8672522000000003
SIMPLICITY,WIND,2030,3.46427304919
SIMPLICITY,WIND,2031,3.5636579823999996
SIMPLICITY,WIND,2032,3.7385155895099995
SIMPLICITY,WIND,2033,4.00385119364
SIMPLICITY,WIND,2034,4.34886494364
SIMPLICITY,WIND,2035,5.08491596998
SIMPLICITY,WIND,2036,5.244925576589999
SIMPLICITY,WIND,2037,5.4312525350000005
SIMPLICITY,WIND,2038,5.612316033049999
SIMPLICITY,WIND,2039,5.79864299146
SIMPLICITY,WIND,2040,6.15378143455
