REGION,EMISSION,YEAR,VALUE
SIMPLICITY,CO2,2014,9999.0
SIMPLICITY,CO2,2015,9999.0
SIMPLICITY,CO2,2016,9999.0
SIMPLICITY,CO2,2017,9999.0
SIMPLICITY,CO2,2018,9999.0
SIMPLICITY,CO2,2019,9999.0
SIMPLICITY,CO2,2020,9999.0
SIMPLICITY,CO2,2021,9999.0
SIMPLICITY,CO2,2022,9999.0
SIMPLICITY,CO2,2023,9999.0
SIMPLICITY,CO2,2024,9999.0
SIMPLICITY,CO2,2025,9999.0
SIMPLICITY,CO2,2026,9999.0
SIMPLICITY,CO2,2027,9999.0
SIMPLICITY,CO2,2028,9999.0
SIMPLICITY,CO2,2029,9999.0
SIMPLICITY,CO2,2030,0.2
SIMPLICITY,CO2,2031,0.18
SIMPLICITY,CO2,2032,0.16
SIMPLICITY,CO2,2033,0.14
SIMPLICITY,CO2,2034,0.12
SIMPLICITY,CO2,2035,0.1
SIMPLICITY,CO2,2036,0.09
SIMPLICITY,CO2,2037,0.08
SIMPLICITY,CO2,2038,0.07
SIMPLICITY,CO2,2039,0.06
SIMPLICITY,CO2,2040,0.05
