REGION,TIMESLICE,FUEL,YEAR,VALUE
"SIMPLICITY","ID","FEL",2014,0.26568
"SIMPLICITY","ID","FEL",2015,0.267
"SIMPLICITY","ID","FEL",2016,0.27288
"SIMPLICITY","ID","FEL",2017,0.28104
"SIMPLICITY","ID","FEL",2018,0.32712
"SIMPLICITY","ID","FEL",2019,0.34908
"SIMPLICITY","ID","FEL",2020,0.37068
"SIMPLICITY","ID","FEL",2021,0.40596
"SIMPLICITY","ID","FEL",2022,0.4236
"SIMPLICITY","ID","FEL",2023,0.45432
"SIMPLICITY","ID","FEL",2024,0.4686
"SIMPLICITY","ID","FEL",2025,0.48072
"SIMPLICITY","ID","FEL",2026,0.49932
"SIMPLICITY","ID","FEL",2027,0.51852
"SIMPLICITY","ID","FEL",2028,0.53232
"SIMPLICITY","ID","FEL",2029,0.54456
"SIMPLICITY","ID","FEL",2030,0.55632
"SIMPLICITY","ID","FEL",2031,0.57228
"SIMPLICITY","ID","FEL",2032,0.60036
"SIMPLICITY","ID","FEL",2033,0.61668
"SIMPLICITY","ID","FEL",2034,0.63312
"SIMPLICITY","ID","FEL",2035,0.64836
"SIMPLICITY","ID","FEL",2036,0.6666
"SIMPLICITY","ID","FEL",2037,0.68784
"SIMPLICITY","ID","FEL",2038,0.70848
"SIMPLICITY","ID","FEL",2039,0.72972
"SIMPLICITY","ID","FEL",2040,0.75876
"SIMPLICITY","IN","FEL",2014,0.17712
"SIMPLICITY","IN","FEL",2015,0.178
"SIMPLICITY","IN","FEL",2016,0.18192
"SIMPLICITY","IN","FEL",2017,0.18736
"SIMPLICITY","IN","FEL",2018,0.21808
"SIMPLICITY","IN","FEL",2019,0.23272
"SIMPLICITY","IN","FEL",2020,0.24712
"SIMPLICITY","IN","FEL",2021,0.27064
"SIMPLICITY","IN","FEL",2022,0.2824
"SIMPLICITY","IN","FEL",2023,0.30288
"SIMPLICITY","IN","FEL",2024,0.3124
"SIMPLICITY","IN","FEL",2025,0.32048
"SIMPLICITY","IN","FEL",2026,0.33288
