REGION,TECHNOLOGY,YEAR,VALUE
"SIMPLICITY","NGCC",2035,10.1103678076667
"SIMPLICITY","WIND",2028,10.3733002761069
"SIMPLICITY","WIND",2029,77.6542171027501
"SIMPLICITY","WIND",2030,20.8900257715833
"SIMPLICITY","WIND",2031,3.40156228663189
"SIMPLICITY","WIND",2032,6.21641610899223
"SIMPLICITY","WIND",2033,11.658030772329
"SIMPLICITY","WIND",2034,16.0028703799932
"SIMPLICITY","WIND",2035,41.6042802375089
"SIMPLICITY","WIND",2036,7.5853432968972
"SIMPLICITY","WIND",2037,9.04587971824139
"SIMPLICITY","WIND",2038,8.97646248877635
"SIMPLICITY","WIND",2039,9.42226090737416
"SIMPLICITY","WIND",2040,21.7153920444046
"SIMPLICITY","TD",2014,1.75518617072372e-06
"SIMPLICITY","TD",2015,8.92089777102162e-09
"SIMPLICITY","TD",2016,4.05889835612546e-08
"SIMPLICITY","TD",2017,5.74515699616299e-08
"SIMPLICITY","TD",2018,3.30477442138133e-07
"SIMPLICITY","TD",2019,1.60236815771204e-07
"SIMPLICITY","TD",2020,1.60180155795797e-07
"SIMPLICITY","TD",2021,2.65625634797616e-07
"SIMPLICITY","TD",2022,1.34716649302528e-07
"SIMPLICITY","TD",2023,2.37766221573516e-07
"SIMPLICITY","TD",2024,1.11922053402324e-07
"SIMPLICITY","TD",2025,9.61226315240927e-08
"SIMPLICITY","TD",2026,1.49166456906202e-07
"SIMPLICITY","TD",2027,1.55601899444343e-07
"SIMPLICITY","TD",2028,1.12950272695717e-07
"SIMPLICITY","TD",2029,1.01120809670069e-07
"SIMPLICITY","TD",2030,9.80143466363058e-08
"SIMPLICITY","TD",2031,1.34129818691285e-07
"SIMPLICITY","TD",2032,2.37848320404027e-07
"SIMPLICITY","TD",2033,1.39266466222882e-07
"SIMPLICITY","TD",2034,1.41278491862602e-07
"SIMPLICITY","TD",2035,1.31838469538447e-07
"SIMPLICITY","TD",2036,1.58785194929371e-07
"SIMPLICITY","TD",2037,1.86003849634575e-07
"SIMPLICITY","TD",2038,1.8176999870812e-07
"SIMPLICITY","TD",2039,1.88054163311704e-07
"SIMPLICITY","TD",2040,2.58415926428333e-07
