
Summary,SIMPLICITY
Emissions
,CO2,6.37309

Cost,1307.91

TID Demand

,SIMPLICITY
Fuel,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
FEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SEC_EL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

Time Dependent Demand (Energy Units)

,SIMPLICITY
Fuel,Timeslice,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
FEL,ID,0.26568,0.267,0.27288,0.28104,0.32712,0.34908,0.37068,0.40596,0.4236,0.45432,0.4686,0.48072,0.49932,0.51852,0.53232,0.54456,0.55632,0.57228,0.60036,0.61668,0.63312,0.64836,0.6666,0.68784,0.70848,0.72972,0.75876
FEL,IN,0.17712,0.178,0.18192,0.18736,0.21808,0.23272,0.24712,0.27064,0.2824,0.30288,0.3124,0.32048,0.33288,0.34568,0.35488,0.36304,0.37088,0.38152,0.40024,0.41112,0.42208,0.43224,0.4444,0.45856,0.47232,0.48648,0.50584
FEL,SD,0.3321,0.33375,0.3411,0.3513,0.4089,0.43635,0.46335,0.50745,0.5295,0.5679,0.58575,0.6009,0.62415,0.64815,0.6654,0.6807,0.6954,0.71535,0.75045,0.77085,0.7914,0.81045,0.83325,0.8598,0.8856,0.91215,0.94845
FEL,SN,0.1107,0.11125,0.1137,0.1171,0.1363,0.14545,0.15445,0.16915,0.1765,0.1893,0.19525,0.2003,0.20805,0.21605,0.2218,0.2269,0.2318,0.23845,0.25015,0.25695,0.2638,0.27015,0.27775,0.2866,0.2952,0.30405,0.31615
FEL,WD,0.8856,0.89,0.9096,0.9368,1.0904,1.1636,1.2356,1.3532,1.412,1.5144,1.562,1.6024,1.6644,1.7284,1.7744,1.8152,1.8544,1.9076,2.0012,2.0556,2.1104,2.1612,2.222,2.2928,2.3616,2.4324,2.5292
FEL,WN,0.4428,0.445,0.4548,0.4684,0.5452,0.5818,0.6178,0.6766,0.706,0.7572,0.781,0.8012,0.8322,0.8642,0.8872,0.9076,0.9272,0.9538,1.0006,1.0278,1.0552,1.0806,1.111,1.1464,1.1808,1.2162,1.2646
GAS,ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
